sentence,adjectives,transparency,polarity,negation,gender,gpt2_large_surprisal,xlnet_large_cased_surprisal,bert_large_cased_surprisal,roberta_large_surprisal
"She is not tall, and he is short too.",tall-short,n,pm,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-9.575255393981934;-2.1442651748657227;-5.841702461242676;-1.072622299194336;-4.346097946166992;-6.1143927574157715;-0.9951543807983398,0.0;-7.485103607177734;-5.203495025634766;-10.9840087890625;-2.966571807861328;-4.003578186035156;-6.771282196044922;-6.797275543212891;-6.366718292236328;-7.006143569946289,-0.4146604537963867;-0.0059299468994140625;-3.6025314331054688;-1.1160945892333984;-0.784113883972168;-0.5597200393676758;-0.011884689331054688;-1.7607669830322266;-1.4095993041992188;-0.026968002319335938,-4.971832275390625;-0.13970947265625;-1.8715248107910156;-0.6565437316894531;-0.46688079833984375;-5.899147033691406;-0.14130401611328125;-0.6120567321777344;-0.5375938415527344;-0.06983184814453125
"She is not short, and he is tall too.",tall-short,n,mp,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-10.760970115661621;-2.0901384353637695;-5.666463851928711;-1.1858758926391602;-2.8380126953125;-5.228458404541016;-0.9130105972290039,0.0;-7.992748260498047;-5.162890434265137;-11.407949447631836;-2.8145790100097656;-4.86676025390625;-8.461257934570312;-9.21090316772461;-6.2439727783203125;-7.75982666015625,-0.7108955383300781;-0.013980865478515625;-2.736088752746582;-1.4981861114501953;-1.0339241027832031;-0.8212642669677734;-0.01041412353515625;-1.607335090637207;-0.875880241394043;-0.030849456787109375,-5.888843536376953;-0.10762786865234375;-3.998291015625;-2.564849853515625;-0.5397720336914062;-6.7869873046875;-0.08713531494140625;-1.7903594970703125;-2.674907684326172;-0.07419586181640625
"He is nice, and she is nice too.",nice-nasty,n,pp,n,mf,0.0;-3.1556758880615234;-10.60936164855957;-2.4264755249023438;-5.897754192352295;-1.225449562072754;-2.2088871002197266;-2.8952465057373047;-1.1338615417480469,0.0;-11.189872741699219;-16.237656593322754;-2.9042587280273438;-5.761609077453613;-7.497224807739258;-9.945196151733398;-6.399326324462891;-9.383869171142578,-0.6339216232299805;-0.09297752380371094;-0.4457244873046875;-0.2867898941040039;-1.2524003982543945;-0.02292633056640625;-0.2090139389038086;-0.12690162658691406;-0.02175140380859375,-0.14644622802734375;-0.12610626220703125;-0.31121826171875;-0.1920623779296875;-0.36270904541015625;-0.122222900390625;-0.14350128173828125;-0.08119964599609375;-0.087371826171875
"He is nasty, and she is nasty too.",nice-nasty,n,mm,n,mf,0.0;-3.1556758880615234;-13.342046737670898;-2.5069665908813477;-5.790292263031006;-1.0495920181274414;-3.1890745162963867;-3.4775495529174805;-1.0698938369750977,0.0;-11.211246490478516;-16.547072410583496;-2.7565059661865234;-6.5747833251953125;-8.130290985107422;-11.268976211547852;-4.675418853759766;-8.52607536315918,-0.6761398315429688;-0.031230926513671875;-0.6823549270629883;-0.5228185653686523;-1.0652294158935547;-0.014494895935058594;-0.7051973342895508;-0.13562393188476562;-0.036869049072265625,-0.20845794677734375;-0.11920166015625;-0.40235137939453125;-0.7116851806640625;-0.41239166259765625;-0.11260223388671875;-1.0491180419921875;-0.09424591064453125;-0.0731658935546875
"He is nice, and she is nasty too.",nice-nasty,n,pm,n,mf,0.0;-3.1556758880615234;-10.60936164855957;-2.4264755249023438;-5.897754192352295;-1.225449562072754;-7.269463062286377;-4.528666973114014;-0.9986696243286133,0.0;-11.105756759643555;-11.953429222106934;-2.797560930252075;-9.619184494018555;-8.977436065673828;-11.882465362548828;-5.877689361572266;-9.700103759765625,-2.261439323425293;-0.023075103759765625;-4.824450492858887;-2.876828193664551;-3.055331230163574;-0.028131484985351562;-9.748628616333008;-0.5070266723632812;-0.03481292724609375,-5.119041442871094;-0.20440673828125;-5.347637176513672;-1.4369888305664062;-6.2470550537109375;-0.1672210693359375;-9.959365844726562;-1.6031494140625;-0.1166839599609375
"He is nasty, and she is nice too.",nice-nasty,n,mp,n,mf,0.0;-3.1556758880615234;-13.342046737670898;-2.5069665908813477;-5.790292263031006;-1.0495920181274414;-3.3244876861572266;-5.125292778015137;-1.0837335586547852,0.0;-12.14129638671875;-17.225817680358887;-2.9627809524536133;-10.13066291809082;-10.037181854248047;-8.062821388244629;-6.25738525390625;-8.926868438720703,-1.375657081604004;-0.06322860717773438;-8.83433723449707;-2.5367393493652344;-1.8266162872314453;-0.03381633758544922;-4.730118751525879;-0.6039724349975586;-0.026027679443359375,-4.0519256591796875;-0.170989990234375;-10.421195983886719;-1.38909912109375;-2.5350418090820312;-0.21752166748046875;-6.268131256103516;-1.268402099609375;-0.11989593505859375
"He is not nice, and she is nice too.",nice-nasty,n,pp,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-11.149932861328125;-1.833115577697754;-5.647716045379639;-1.2968664169311523;-5.024429798126221;-3.792348861694336;-1.1332941055297852,0.0;-9.960758209228516;-3.3378334045410156;-13.248821258544922;-3.2327823638916016;-6.481035232543945;-4.96185302734375;-8.457269668579102;-5.570783615112305;-5.148866653442383,-1.2286386489868164;-0.013057708740234375;-4.944347381591797;-3.6826696395874023;-2.1744613647460938;-1.5446453094482422;-0.08724498748779297;-2.3884315490722656;-0.7203493118286133;-0.0359344482421875,-0.6385040283203125;-0.11040496826171875;-6.982280731201172;-4.536632537841797;-1.32244873046875;-0.8912353515625;-0.6107177734375;-3.747577667236328;-1.6236038208007812;-0.11876678466796875
"He is not nasty, and she is nasty too.",nice-nasty,n,mm,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-13.6333589553833;-2.5190744400024414;-6.133307456970215;-1.0350027084350586;-7.37913703918457;-4.189082622528076;-1.0252113342285156,0.0;-3.7198867797851562;-3.1657779216766357;-10.994433403015137;-2.9817428588867188;-6.3153910636901855;-4.3076019287109375;-10.988656997680664;-7.568820953369141;-6.594895362854004,-1.1174278259277344;-0.016010284423828125;-4.954367637634277;-4.705408096313477;-1.2351694107055664;-1.6901588439941406;-0.04450702667236328;-5.022568702697754;-0.8013782501220703;-0.03436470031738281,-0.6975936889648438;-0.35027313232421875;-5.882843017578125;-4.276004791259766;-1.1374435424804688;-1.2235870361328125;-0.291595458984375;-8.219879150390625;-1.8499031066894531;-0.07941436767578125
"He is not nice, and she is nasty too.",nice-nasty,n,pm,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-11.149932861328125;-1.833115577697754;-5.647716045379639;-1.2968664169311523;-7.007353782653809;-4.179646015167236;-0.9400119781494141,0.0;-3.90450382232666;-5.418374061584473;-12.663369178771973;-2.8770484924316406;-6.248962879180908;-3.725147247314453;-11.258591651916504;-6.263359069824219;-6.883159637451172,-4.358453750610352;-0.0058574676513671875;-2.6072378158569336;-2.5971899032592773;-0.8472919464111328;-6.371861457824707;-0.03317451477050781;-5.433045864105225;-0.5362892150878906;-0.029794692993164062,-5.842918395996094;-0.20854949951171875;-0.70843505859375;-0.6432685852050781;-0.45076751708984375;-7.198814392089844;-0.1613922119140625;-3.2882423400878906;-0.34331512451171875;-0.10463714599609375
"He is not nasty, and she is nice too.",nice-nasty,n,mp,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-13.6333589553833;-2.5190744400024414;-6.133307456970215;-1.0350027084350586;-4.956526756286621;-4.786868095397949;-0.9411401748657227,0.0;-8.14080810546875;-3.5380778312683105;-13.268632888793945;-2.925535202026367;-6.726324081420898;-6.197669982910156;-7.828733444213867;-5.886127471923828;-7.896562576293945,-5.267359256744385;-0.007656097412109375;-2.6321945190429688;-6.61690092086792;-0.521449089050293;-6.850902557373047;-0.046478271484375;-2.569058418273926;-0.9496688842773438;-0.0162811279296875,-5.145698547363281;-0.31906890869140625;-0.445465087890625;-4.940616607666016;-0.08734130859375;-6.560173034667969;-0.17746734619140625;-1.0589103698730469;-0.21146392822265625;-0.0939788818359375
"She is nice, and he is nice too.",nice-nasty,n,pp,n,fm,0.0;-3.225691318511963;-9.976188659667969;-2.3683385848999023;-5.5717573165893555;-1.5175457000732422;-1.9645376205444336;-3.3470802307128906;-1.1384620666503906,0.0;-6.861583709716797;-11.135299682617188;-2.894256591796875;-6.786342620849609;-6.719024658203125;-10.308565139770508;-4.178165435791016;-6.16802978515625,-0.5963859558105469;-0.1233367919921875;-0.586787223815918;-0.24227046966552734;-1.3800430297851562;-0.020673751831054688;-0.2173166275024414;-0.09571361541748047;-0.02706146240234375,-0.1716156005859375;-0.10390472412109375;-0.5230789184570312;-0.19582366943359375;-0.39812469482421875;-0.13446044921875;-0.173095703125;-0.08402252197265625;-0.07720184326171875
"She is nasty, and he is nasty too.",nice-nasty,n,mm,n,fm,0.0;-3.225691318511963;-12.846768379211426;-2.500138282775879;-5.405412197113037;-1.2542648315429688;-3.0689697265625;-3.68819522857666;-1.070033073425293,0.0;-9.211406707763672;-12.504352569580078;-3.084808349609375;-6.278179168701172;-9.495037078857422;-13.379976272583008;-4.240592956542969;-7.937649726867676,-0.8927249908447266;-0.03966712951660156;-1.1591796875;-0.44707202911376953;-1.051504135131836;-0.012971878051757812;-0.8816490173339844;-0.14880847930908203;-0.042919158935546875,-0.29251861572265625;-0.091522216796875;-0.30776214599609375;-0.7303543090820312;-0.39605712890625;-0.14754486083984375;-1.3877792358398438;-0.12343597412109375;-0.066253662109375
"She is nice, and he is nasty too.",nice-nasty,n,pm,n,fm,0.0;-3.225691318511963;-9.976188659667969;-2.3683385848999023;-5.5717573165893555;-1.5175457000732422;-7.401775360107422;-4.855918884277344;-1.0385103225708008,0.0;-8.43359375;-8.262630462646484;-2.5244522094726562;-7.719277381896973;-9.332355499267578;-12.933930397033691;-4.891363143920898;-8.066349029541016,-2.6996145248413086;-0.03880882263183594;-4.128168106079102;-2.71645450592041;-3.0166540145874023;-0.03145313262939453;-9.267897605895996;-0.7256860733032227;-0.03666114807128906,-5.732337951660156;-0.16637420654296875;-5.811279296875;-1.6854705810546875;-6.8779449462890625;-0.20761871337890625;-9.55832290649414;-1.6672859191894531;-0.1015167236328125
"She is nasty, and he is nice too.",nice-nasty,n,mp,n,fm,0.0;-3.225691318511963;-12.846768379211426;-2.500138282775879;-5.405412197113037;-1.2542648315429688;-3.2708396911621094;-5.605327129364014;-1.0813579559326172,0.0;-11.041875839233398;-13.273191452026367;-2.8364505767822266;-7.792821884155273;-8.181085586547852;-8.070430755615234;-6.204196929931641;-8.11387825012207,-2.241969108581543;-0.11911869049072266;-8.769038200378418;-2.1270408630371094;-2.0095930099487305;-0.029409408569335938;-4.551544189453125;-0.6446332931518555;-0.029415130615234375,-4.611976623535156;-0.14026641845703125;-10.398868560791016;-1.5591201782226562;-3.763580322265625;-0.2645416259765625;-5.941490173339844;-1.3799362182617188;-0.11733245849609375
"She is not nice, and he is nice too.",nice-nasty,n,pp,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-10.75482177734375;-1.9362401962280273;-5.254821300506592;-1.3998823165893555;-5.354532718658447;-4.348438739776611;-1.123600959777832,0.0;-9.685211181640625;-4.24827766418457;-12.914119720458984;-3.234569549560547;-5.076177597045898;-6.447078704833984;-8.877464294433594;-8.82414436340332;-3.651334762573242,-1.3176403045654297;-0.015933990478515625;-4.909686088562012;-4.1781768798828125;-2.2963476181030273;-1.5041723251342773;-0.09012889862060547;-2.2365922927856445;-0.4860391616821289;-0.0392913818359375,-0.7963714599609375;-0.08373260498046875;-7.530277252197266;-4.295047760009766;-1.3627395629882812;-0.9247665405273438;-0.5383071899414062;-4.134243011474609;-1.9591140747070312;-0.1020050048828125
"She is not nasty, and he is nasty too.",nice-nasty,n,mm,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-13.04481315612793;-2.625948905944824;-5.90077543258667;-1.080977439880371;-7.882194519042969;-4.762507915496826;-1.018244743347168,0.0;-7.445899963378906;-4.762138366699219;-15.109977722167969;-3.1664466857910156;-4.841121673583984;-7.313953399658203;-13.332515716552734;-7.738033294677734;-6.039115905761719,-1.3883247375488281;-0.016613006591796875;-4.797877311706543;-5.583403587341309;-1.4083328247070312;-1.4535579681396484;-0.03433799743652344;-4.754023551940918;-0.7117776870727539;-0.036632537841796875,-0.8989410400390625;-0.2299957275390625;-5.930866241455078;-4.7365264892578125;-1.3304214477539062;-0.9936141967773438;-0.36852264404296875;-8.604297637939453;-1.9687576293945312;-0.0750885009765625
"She is not nice, and he is nasty too.",nice-nasty,n,pm,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-10.75482177734375;-1.9362401962280273;-5.254821300506592;-1.3998823165893555;-7.404610633850098;-4.755805969238281;-0.9823417663574219,0.0;-7.725345611572266;-4.091466903686523;-10.54360580444336;-3.1503753662109375;-4.635347366333008;-9.435028076171875;-10.822521209716797;-5.937042236328125;-6.985506057739258,-5.28935432434082;-0.0059967041015625;-2.631376266479492;-2.9967193603515625;-0.9459133148193359;-5.695442199707031;-0.03565502166748047;-5.238655090332031;-0.6702547073364258;-0.033779144287109375,-6.246986389160156;-0.1513214111328125;-0.4028167724609375;-0.6439857482910156;-0.46868133544921875;-7.8100433349609375;-0.21624755859375;-4.082164764404297;-0.38240814208984375;-0.09549713134765625
"She is not nasty, and he is nice too.",nice-nasty,n,mp,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-13.04481315612793;-2.625948905944824;-5.90077543258667;-1.080977439880371;-5.357352256774902;-4.997206211090088;-0.950556755065918,0.0;-8.735027313232422;-4.5633544921875;-13.439727783203125;-3.0075302124023438;-4.549625396728516;-7.105964660644531;-7.567344665527344;-6.6395111083984375;-7.945241928100586,-5.851377487182617;-0.0072078704833984375;-2.4734487533569336;-6.954380512237549;-0.5510282516479492;-6.400341033935547;-0.047451019287109375;-2.7121801376342773;-0.6582431793212891;-0.018589019775390625,-6.028141021728516;-0.240997314453125;-0.45095062255859375;-4.512355804443359;-0.0834503173828125;-6.409019470214844;-0.2064056396484375;-1.3286018371582031;-0.2325592041015625;-0.08978271484375
"He is nice, and she is nice too.",nice-mean,n,pp,n,mf,0.0;-3.1556758880615234;-10.60936164855957;-2.4264755249023438;-5.897754192352295;-1.225449562072754;-2.2088871002197266;-2.8952465057373047;-1.1338615417480469,0.0;-11.189872741699219;-16.237656593322754;-2.9042587280273438;-5.761609077453613;-7.497224807739258;-9.945196151733398;-6.399326324462891;-9.383869171142578,-0.6339216232299805;-0.09297752380371094;-0.4457244873046875;-0.2867898941040039;-1.2524003982543945;-0.02292633056640625;-0.2090139389038086;-0.12690162658691406;-0.02175140380859375,-0.14644622802734375;-0.12610626220703125;-0.31121826171875;-0.1920623779296875;-0.36270904541015625;-0.122222900390625;-0.14350128173828125;-0.08119964599609375;-0.087371826171875
"He is mean, and she is mean too.",nice-mean,n,mm,n,mf,0.0;-3.1556758880615234;-12.252903938293457;-2.405503273010254;-5.868810176849365;-1.283207893371582;-2.45833683013916;-4.105710983276367;-0.9353704452514648,0.0;-5.700843811035156;-17.892593383789062;-5.220008850097656;-7.354835510253906;-6.271015167236328;-17.029144287109375;-2.749919891357422;-6.761386871337891,-0.44359302520751953;-0.04290008544921875;-0.4148702621459961;-0.8270978927612305;-0.9371061325073242;-0.015924453735351562;-0.09922981262207031;-0.5842437744140625;-0.03596687316894531,-0.09328460693359375;-0.09873199462890625;-0.08929443359375;-0.9988479614257812;-0.22248077392578125;-0.1379241943359375;-0.08293914794921875;-1.115997314453125;-0.0507049560546875
"He is nice, and she is mean too.",nice-mean,n,pm,n,mf,0.0;-3.1556758880615234;-10.60936164855957;-2.4264755249023438;-5.897754192352295;-1.225449562072754;-6.418743133544922;-5.524325370788574;-0.9652109146118164,0.0;-9.601518630981445;-12.64285945892334;-4.716030120849609;-10.199867248535156;-8.131637573242188;-13.9286470413208;-6.730951309204102;-8.770092964172363,-2.1941137313842773;-0.02503204345703125;-6.594121932983398;-2.8837127685546875;-2.7145214080810547;-0.0627145767211914;-7.684976100921631;-0.8325366973876953;-0.03338813781738281,-4.753318786621094;-0.15865325927734375;-6.8556060791015625;-1.5261688232421875;-6.4506988525390625;-0.14931488037109375;-8.85113525390625;-3.3865890502929688;-0.09621429443359375
"He is mean, and she is nice too.",nice-mean,n,mp,n,mf,0.0;-3.1556758880615234;-12.252903938293457;-2.405503273010254;-5.868810176849365;-1.283207893371582;-4.201266765594482;-5.021233081817627;-1.0794239044189453,0.0;-5.700641632080078;-17.932758331298828;-5.811912536621094;-7.906772613525391;-5.439521789550781;-10.471324920654297;-2.129150390625;-7.134740829467773,-1.8427886962890625;-0.06768608093261719;-7.933649063110352;-2.8936901092529297;-2.359919548034668;-0.03276252746582031;-6.680885314941406;-0.449005126953125;-0.0221405029296875,-4.246665954589844;-0.1815032958984375;-7.760463714599609;-1.8335647583007812;-2.82568359375;-0.19251251220703125;-7.7238616943359375;-1.7659988403320312;-0.0958404541015625
"He is not nice, and she is nice too.",nice-mean,n,pp,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-11.149932861328125;-1.833115577697754;-5.647716045379639;-1.2968664169311523;-5.024429798126221;-3.792348861694336;-1.1332941055297852,0.0;-9.960758209228516;-3.3378334045410156;-13.248821258544922;-3.2327823638916016;-6.481035232543945;-4.96185302734375;-8.457269668579102;-5.570783615112305;-5.148866653442383,-1.2286386489868164;-0.013057708740234375;-4.944347381591797;-3.6826696395874023;-2.1744613647460938;-1.5446453094482422;-0.08724498748779297;-2.3884315490722656;-0.7203493118286133;-0.0359344482421875,-0.6385040283203125;-0.11040496826171875;-6.982280731201172;-4.536632537841797;-1.32244873046875;-0.8912353515625;-0.6107177734375;-3.747577667236328;-1.6236038208007812;-0.11876678466796875
"He is not mean, and she is mean too.",nice-mean,n,mm,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-11.47376823425293;-2.4844627380371094;-6.173063278198242;-1.1224355697631836;-6.380159378051758;-4.165084362030029;-0.8967647552490234,0.0;-7.684497833251953;-2.336945056915283;-12.121088981628418;-3.102508544921875;-6.94061279296875;-5.520648956298828;-9.060304641723633;-7.182109832763672;-4.629276275634766,-0.8496837615966797;-0.019748687744140625;-4.125580787658691;-1.6079025268554688;-1.462620735168457;-1.668670654296875;-0.029687881469726562;-4.110133171081543;-1.5438413619995117;-0.03467369079589844,-0.7351608276367188;-0.18972015380859375;-5.021953582763672;-3.9194183349609375;-1.040252685546875;-1.090576171875;-0.38700103759765625;-5.2101287841796875;-1.9621963500976562;-0.07035064697265625
"He is not nice, and she is mean too.",nice-mean,n,pm,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-11.149932861328125;-1.833115577697754;-5.647716045379639;-1.2968664169311523;-6.6328864097595215;-5.523177146911621;-0.8842954635620117,0.0;-3.8201942443847656;-5.2896528244018555;-11.902647018432617;-2.960542678833008;-6.247265815734863;-3.1868438720703125;-9.763540267944336;-6.200971603393555;-6.878679275512695,-4.123394966125488;-0.005504608154296875;-3.090045928955078;-3.4984607696533203;-0.8074531555175781;-5.687498092651367;-0.056194305419921875;-4.317885398864746;-1.1494770050048828;-0.027505874633789062,-5.874210357666016;-0.19260406494140625;-0.5784378051757812;-0.787078857421875;-0.4338531494140625;-7.80126953125;-0.15261077880859375;-2.8775062561035156;-1.2486801147460938;-0.0967559814453125
"He is not mean, and she is nice too.",nice-mean,n,mp,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-11.47376823425293;-2.4844627380371094;-6.173063278198242;-1.1224355697631836;-5.517727851867676;-4.323891639709473;-0.8776350021362305,0.0;-9.476448059082031;-5.281215667724609;-14.091592788696289;-3.238269805908203;-7.141319274902344;-4.305015563964844;-7.844936370849609;-6.818756103515625;-6.687587738037109,-4.976191520690918;-0.030450820922851562;-1.3809528350830078;-4.022177696228027;-0.5339927673339844;-7.129096984863281;-0.038608551025390625;-2.908266067504883;-0.7951593399047852;-0.01645660400390625,-4.946266174316406;-0.22966766357421875;-0.17642974853515625;-2.850818634033203;-0.0600738525390625;-5.589500427246094;-0.1417388916015625;-1.0303306579589844;-0.19225311279296875;-0.09403228759765625
"She is nice, and he is nice too.",nice-mean,n,pp,n,fm,0.0;-3.225691318511963;-9.976188659667969;-2.3683385848999023;-5.5717573165893555;-1.5175457000732422;-1.9645376205444336;-3.3470802307128906;-1.1384620666503906,0.0;-6.861583709716797;-11.135299682617188;-2.894256591796875;-6.786342620849609;-6.719024658203125;-10.308565139770508;-4.178165435791016;-6.16802978515625,-0.5963859558105469;-0.1233367919921875;-0.586787223815918;-0.24227046966552734;-1.3800430297851562;-0.020673751831054688;-0.2173166275024414;-0.09571361541748047;-0.02706146240234375,-0.1716156005859375;-0.10390472412109375;-0.5230789184570312;-0.19582366943359375;-0.39812469482421875;-0.13446044921875;-0.173095703125;-0.08402252197265625;-0.07720184326171875
"She is mean, and he is mean too.",nice-mean,n,mm,n,fm,0.0;-3.225691318511963;-11.822518348693848;-2.396625518798828;-5.624289512634277;-1.4438533782958984;-2.2193145751953125;-4.825252532958984;-0.9261083602905273,0.0;-10.468891143798828;-14.787639617919922;-2.7008399963378906;-5.8200225830078125;-8.30660629272461;-12.514633178710938;-4.835231781005859;-7.078891754150391,-0.5205955505371094;-0.05225563049316406;-0.4217185974121094;-0.7129650115966797;-1.0233564376831055;-0.01422882080078125;-0.1405344009399414;-0.6268215179443359;-0.04330253601074219,-0.22280120849609375;-0.0852813720703125;-0.0740203857421875;-0.9343490600585938;-0.26180267333984375;-0.15964508056640625;-0.1571807861328125;-1.4517936706542969;-0.046722412109375
"She is nice, and he is mean too.",nice-mean,n,pm,n,fm,0.0;-3.225691318511963;-9.976188659667969;-2.3683385848999023;-5.5717573165893555;-1.5175457000732422;-6.271366596221924;-5.880548477172852;-1.0018234252929688,0.0;-10.471355438232422;-9.28978157043457;-2.5308380126953125;-6.9752607345581055;-8.048749923706055;-12.494813919067383;-6.403621673583984;-6.686557769775391,-2.5715904235839844;-0.03707122802734375;-6.33921480178833;-2.8144702911376953;-3.294131278991699;-0.06353282928466797;-7.379109859466553;-0.9732494354248047;-0.03921699523925781,-5.444202423095703;-0.14813232421875;-7.156349182128906;-1.6962661743164062;-6.6250152587890625;-0.2012481689453125;-8.418346405029297;-3.3825302124023438;-0.08872222900390625
"She is mean, and he is nice too.",nice-mean,n,mp,n,fm,0.0;-3.225691318511963;-11.822518348693848;-2.396625518798828;-5.624289512634277;-1.4438533782958984;-4.201057434082031;-5.46602725982666;-1.0593032836914062,0.0;-3.5056190490722656;-16.398780822753906;-3.1778488159179688;-5.97320556640625;-4.927127838134766;-8.684494018554688;-3.2358131408691406;-6.202121734619141,-1.9199342727661133;-0.10782051086425781;-7.309568405151367;-2.5038347244262695;-2.7926740646362305;-0.02962970733642578;-6.306600093841553;-0.5168495178222656;-0.0258941650390625,-5.039844512939453;-0.12796783447265625;-7.909690856933594;-1.7794342041015625;-3.4176788330078125;-0.21114349365234375;-7.229591369628906;-1.6087188720703125;-0.09584808349609375
"She is not nice, and he is nice too.",nice-mean,n,pp,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-10.75482177734375;-1.9362401962280273;-5.254821300506592;-1.3998823165893555;-5.354532718658447;-4.348438739776611;-1.123600959777832,0.0;-9.685211181640625;-4.24827766418457;-12.914119720458984;-3.234569549560547;-5.076177597045898;-6.447078704833984;-8.877464294433594;-8.82414436340332;-3.651334762573242,-1.3176403045654297;-0.015933990478515625;-4.909686088562012;-4.1781768798828125;-2.2963476181030273;-1.5041723251342773;-0.09012889862060547;-2.2365922927856445;-0.4860391616821289;-0.0392913818359375,-0.7963714599609375;-0.08373260498046875;-7.530277252197266;-4.295047760009766;-1.3627395629882812;-0.9247665405273438;-0.5383071899414062;-4.134243011474609;-1.9591140747070312;-0.1020050048828125
"She is not mean, and he is mean too.",nice-mean,n,mm,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-11.057294845581055;-2.549541473388672;-6.20905876159668;-1.181178092956543;-6.864870548248291;-5.0640363693237305;-0.8982000350952148,0.0;-6.978752136230469;-2.7967262268066406;-12.607881546020508;-2.9823226928710938;-5.1414794921875;-6.900611877441406;-9.50933837890625;-7.409399032592773;-5.712947845458984,-0.994044303894043;-0.018529891967773438;-3.9203367233276367;-1.8091545104980469;-1.6741342544555664;-1.4644298553466797;-0.02573871612548828;-4.007282257080078;-1.4638862609863281;-0.040470123291015625,-0.8168411254882812;-0.14066314697265625;-4.915363311767578;-3.9505271911621094;-1.1319580078125;-0.837005615234375;-0.463165283203125;-5.828727722167969;-1.9701309204101562;-0.0666046142578125
"She is not nice, and he is mean too.",nice-mean,n,pm,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-10.75482177734375;-1.9362401962280273;-5.254821300506592;-1.3998823165893555;-6.926878452301025;-6.047826766967773;-0.9289159774780273,0.0;-8.193950653076172;-3.735248565673828;-12.575841903686523;-2.821868896484375;-5.799875259399414;-7.481773376464844;-7.947751998901367;-5.853647232055664;-4.957246780395508,-4.8031110763549805;-0.0060520172119140625;-2.894926071166992;-3.547360420227051;-0.8514213562011719;-5.515965461730957;-0.059452056884765625;-4.05190372467041;-1.1801681518554688;-0.036285400390625,-6.231353759765625;-0.12474822998046875;-0.355804443359375;-0.8707466125488281;-0.39247894287109375;-8.401275634765625;-0.18781280517578125;-3.5944671630859375;-1.2549514770507812;-0.08515167236328125
"She is not mean, and he is nice too.",nice-mean,n,mp,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-11.057294845581055;-2.549541473388672;-6.20905876159668;-1.181178092956543;-6.140495300292969;-4.480823516845703;-0.9164819717407227,0.0;-8.660377502441406;-5.137514114379883;-12.222419738769531;-3.1130218505859375;-3.9143829345703125;-6.745948791503906;-7.117610931396484;-7.128915786743164;-6.726924896240234,-5.432866096496582;-0.028051376342773438;-1.3533821105957031;-4.0532121658325195;-0.5497169494628906;-6.681862831115723;-0.0381622314453125;-2.938627243041992;-0.6058216094970703;-0.019647598266601562,-5.651679992675781;-0.17301177978515625;-0.21075439453125;-2.722431182861328;-0.0751800537109375;-5.94366455078125;-0.14141845703125;-1.598876953125;-0.20714950561523438;-0.08866119384765625
"He is kind, and she is kind too.",kind-unkind,y,pp,n,mf,0.0;-3.1556758880615234;-9.54480266571045;-2.9279422760009766;-6.275139808654785;-1.0096473693847656;-1.798445701599121;-4.8818864822387695;-0.9679117202758789,0.0;-11.754222869873047;-16.09986114501953;-2.9799203872680664;-6.419918060302734;-8.601341247558594;-7.986128330230713;-4.943819046020508;-8.089666366577148,-0.43874073028564453;-0.030538558959960938;-0.3469829559326172;-0.316314697265625;-0.8103351593017578;-0.011013031005859375;-0.16115570068359375;-0.3851766586303711;-0.025819778442382812,-0.15981292724609375;-0.09854888916015625;-0.21231842041015625;-0.44747161865234375;-0.2609100341796875;-0.10427093505859375;-0.5923690795898438;-0.3957672119140625;-0.0384063720703125
"He is unkind, and she is unkind too.",kind-unkind,y,mm,n,mf,0.0;-3.1556758880615234;-15.508252143859863;-1.999934196472168;-6.4302802085876465;-0.9227313995361328;-2.6878786087036133;-4.572851181030273;-1.046982765197754,0.0;-12.079463958740234;-39.84783172607422;-2.7396240234375;-7.431750297546387;-9.897041320800781;-25.045578002929688;-5.80225944519043;-7.581507682800293,-0.5725622177124023;-0.061435699462890625;-0.16034317016601562;-0.545013427734375;-0.8693418502807617;-0.022449493408203125;-0.04700469970703125;-0.680150032043457;-0.037151336669921875,-0.08286285400390625;-0.0584259033203125;-0.04376220703125;-0.8631591796875;-0.254913330078125;-0.0839080810546875;-0.0006103515625;-0.4483642578125;-0.07523345947265625
