sentence,adjectives,transparency,polarity,negation,gender,gpt2_large_sentence_surprisal,xlnet_large_cased_sentence_surprisal,bert_large_cased_sentence_surprisal,roberta_large_sentence_surprisal
She is not unambitious means that she is ambitious.,ambitious-unambitious,y,mp,y,fm,44.3064537,123.4018555,19.1803503,16.8847847
He is hardworking means that he is hardworking.,hardworking-lazy,n,pp,n,mf,36.64923096,125.7984924,14.25227451,11.10508728
He is lazy means that he is lazy.,hardworking-lazy,n,mm,n,mf,33.27129364,91.94012451,7.034416199,14.95296478
He is hardworking means that he is lazy.,hardworking-lazy,n,pm,n,mf,39.57343674,87.9276886,29.84416008,18.40037155
He is lazy means that he is hardworking.,hardworking-lazy,n,mp,n,mf,38.67817688,99.88219452,15.77314091,23.19468689
He is not hardworking means that he is hardworking.,hardworking-lazy,n,pp,y,mf,41.79558563,123.8573151,21.21122694,13.03522491
He is not lazy means that he is lazy.,hardworking-lazy,n,mm,y,mf,36.68453979,102.0900574,14.02795124,16.04367447
He is not hardworking means that he is lazy.,hardworking-lazy,n,pm,y,mf,38.73421478,96.44498444,28.28723335,11.58107376
He is not lazy means that he is hardworking.,hardworking-lazy,n,mp,y,mf,38.63292313,114.36763,14.71194649,15.21019745
She is hardworking means that she is hardworking.,hardworking-lazy,n,pp,n,fm,36.90966034,123.853981,13.65045547,9.788505554
She is lazy means that she is lazy.,hardworking-lazy,n,mm,n,fm,33.78939056,96.63467407,8.511871815,15.10834503
She is hardworking means that she is lazy.,hardworking-lazy,n,pm,n,fm,40.56942368,89.24961853,30.81003475,17.79142761
She is lazy means that she is hardworking.,hardworking-lazy,n,mp,n,fm,39.22375107,96.69332886,18.28826284,22.86429214
She is not hardworking means that she is hardworking.,hardworking-lazy,n,pp,y,fm,42.2226181,132.5600281,19.76288033,12.97230148
She is not lazy means that she is lazy.,hardworking-lazy,n,mm,y,fm,37.80138016,105.4758682,15.01754951,16.12517548
She is not hardworking means that she is lazy.,hardworking-lazy,n,pm,y,fm,39.67761993,95.61454773,28.87027645,10.31108475
She is not lazy means that she is hardworking.,hardworking-lazy,n,mp,y,fm,39.33847809,99.81573486,15.51240826,13.96043396
He is talkative means that he is talkative.,talkative-taciturn,n,pp,n,mf,37.05638885,132.4462128,11.01996279,12.29183578
He is taciturn means that he is taciturn.,talkative-taciturn,n,mm,n,mf,41.42132568,165.0608521,9.085672855,10.82332611
He is talkative means that he is taciturn.,talkative-taciturn,n,pm,n,mf,42.49715042,126.8070679,13.03397465,16.34289169
He is taciturn means that he is talkative.,talkative-taciturn,n,mp,n,mf,44.90670776,121.2257767,10.93029976,20.36339569
He is not talkative means that he is talkative.,talkative-taciturn,n,pp,y,mf,44.93604279,116.2388077,15.22470522,14.21963501
He is not taciturn means that he is taciturn.,talkative-taciturn,n,mm,y,mf,44.2732811,152.4315643,12.30361891,11.16493988
He is not talkative means that he is taciturn.,talkative-taciturn,n,pm,y,mf,41.31539917,134.0832062,16.80863476,10.29262543
He is not taciturn means that he is talkative.,talkative-taciturn,n,mp,y,mf,46.96730804,126.9775696,15.06488132,20.57775879
She is talkative means that she is talkative.,talkative-taciturn,n,pp,n,fm,37.08133316,141.6257019,10.8739109,10.86800003
She is taciturn means that she is taciturn.,talkative-taciturn,n,mm,n,fm,41.96312714,159.0765076,9.049248695,9.826126099
She is talkative means that she is taciturn.,talkative-taciturn,n,pm,n,fm,42.81950378,128.394577,12.30490875,15.21187973
She is taciturn means that she is talkative.,talkative-taciturn,n,mp,n,fm,44.92177582,125.3503189,11.88965893,19.78507996
She is not talkative means that she is talkative.,talkative-taciturn,n,pp,y,fm,44.94136047,119.1480255,14.71651077,13.96030807
She is not taciturn means that she is taciturn.,talkative-taciturn,n,mm,y,fm,44.72805023,150.2818451,12.69017839,10.43086243
She is not talkative means that she is taciturn.,talkative-taciturn,n,pm,y,fm,41.76778412,130.2791443,15.51665211,8.943962097
She is not taciturn means that she is talkative.,talkative-taciturn,n,mp,y,fm,46.91903305,126.3152161,16.70678425,19.44205475
He is social means that he is social.,social-antisocial,y,pp,n,mf,38.14803314,89.15479279,10.97923183,14.47618866
He is antisocial means that he is antisocial.,social-antisocial,y,mm,n,mf,38.73110199,133.6254272,11.00714731,10.4097023
He is social means that he is antisocial.,social-antisocial,y,pm,n,mf,44.71776581,96.7829895,24.04972172,19.45633698
He is antisocial means that he is social.,social-antisocial,y,mp,n,mf,42.7274437,94.4226532,17.67314005,19.35220337
He is not social means that he is social.,social-antisocial,y,pp,y,mf,42.32222366,92.79309082,21.27593231,20.15214157
He is not antisocial means that he is antisocial.,social-antisocial,y,mm,y,mf,38.90406036,131.4763947,14.47496367,13.00085068
He is not social means that he is antisocial.,social-antisocial,y,pm,y,mf,48.17175293,101.9062271,21.96480036,16.70057297
He is not antisocial means that he is social.,social-antisocial,y,mp,y,mf,43.42810822,99.11568451,18.12531185,16.71831512
She is social means that she is social.,social-antisocial,y,pp,n,fm,36.23480225,88.27571869,11.89756012,13.57387161
She is antisocial means that she is antisocial.,social-antisocial,y,mm,n,fm,37.58992386,137.1410217,10.82797956,9.999526978
She is social means that she is antisocial.,social-antisocial,y,pm,n,fm,41.72242737,97.32036591,21.17048216,18.72397614
She is antisocial means that she is social.,social-antisocial,y,mp,n,fm,40.91082001,92.91368103,16.4776268,18.79440308
She is not social means that she is social.,social-antisocial,y,pp,y,fm,38.60778046,83.77738953,20.45746422,20.11562347
She is not antisocial means that she is antisocial.,social-antisocial,y,mm,y,fm,37.26825714,131.7012634,13.85972977,12.11670303
She is not social means that she is antisocial.,social-antisocial,y,pm,y,fm,41.9821167,98.50070953,19.60899973,14.52016068
She is not antisocial means that she is social.,social-antisocial,y,mp,y,fm,41.01735687,103.2971802,18.03678036,15.85097122
He is social means that he is social.,social-aloof,n,pp,n,mf,38.14803314,89.15479279,10.97923183,14.47618866
He is aloof means that he is aloof.,social-aloof,n,mm,n,mf,39.54526138,140.0606079,10.79294395,9.75246048
He is social means that he is aloof.,social-aloof,n,pm,n,mf,45.33582687,104.9818115,21.73557949,21.40775299
He is aloof means that he is social.,social-aloof,n,mp,n,mf,43.453125,94.35493469,21.50275135,20.72099304
He is not social means that he is social.,social-aloof,n,pp,y,mf,42.32222366,92.79309082,21.27593231,20.15214157
He is not aloof means that he is aloof.,social-aloof,n,mm,y,mf,42.25139236,150.4245148,12.1432476,11.42878723
He is not social means that he is aloof.,social-aloof,n,pm,y,mf,49.71858978,116.2394791,19.72048378,23.65156937
He is not aloof means that he is social.,social-aloof,n,mp,y,mf,45.23656464,93.2158432,25.48081684,19.21922684
She is social means that she is social.,social-aloof,n,pp,n,fm,36.23480225,88.27571869,11.89756012,13.57387161
She is aloof means that she is aloof.,social-aloof,n,mm,n,fm,39.13457489,147.1036987,10.81448174,8.397209167
She is social means that she is aloof.,social-aloof,n,pm,n,fm,41.68389893,104.3026428,19.63741446,20.52306366
She is aloof means that she is social.,social-aloof,n,mp,n,fm,42.74979782,98.47994995,22.38028002,18.9056778
She is not social means that she is social.,social-aloof,n,pp,y,fm,38.60778046,83.77738953,20.45746422,20.11562347
She is not aloof means that she is aloof.,social-aloof,n,mm,y,fm,41.42552185,142.6949615,12.39917326,10.71069336
She is not social means that she is aloof.,social-aloof,n,pm,y,fm,43.15527344,118.1625061,18.00231886,20.89630508
She is not aloof means that she is social.,social-aloof,n,mp,y,fm,43.95617676,99.84074402,24.8379488,18.39746857
He is social means that he is social.,social-unsocial,y,pp,n,mf,38.14803314,89.15479279,10.97923183,14.47618866
He is unsocial means that he is unsocial.,social-unsocial,y,mm,n,mf,40.76565552,127.9315567,9.483749866,10.85004425
He is social means that he is unsocial.,social-unsocial,y,pm,n,mf,46.67190933,100.0191116,28.37879372,21.44777298
He is unsocial means that he is social.,social-unsocial,y,mp,n,mf,42.29721069,96.6385498,17.92231369,22.76701355
He is not social means that he is social.,social-unsocial,y,pp,y,mf,42.32222366,92.79309082,21.27593231,20.15214157
He is not unsocial means that he is unsocial.,social-unsocial,y,mm,y,mf,48.36281586,122.3078003,11.35638237,13.94728851
He is not social means that he is unsocial.,social-unsocial,y,pm,y,mf,49.25925446,104.5510101,24.05237436,15.11654282
He is not unsocial means that he is social.,social-unsocial,y,mp,y,mf,47.7360611,97.5966568,19.2582674,20.85142136
She is social means that she is social.,social-unsocial,y,pp,n,fm,36.23480225,88.27571869,11.89756012,13.57387161
She is unsocial means that she is unsocial.,social-unsocial,y,mm,n,fm,40.28014755,128.923996,10.52439833,10.22590256
She is social means that she is unsocial.,social-unsocial,y,pm,n,fm,43.15834808,108.3308182,24.62224007,21.21619797
She is unsocial means that she is social.,social-unsocial,y,mp,n,fm,42.17329025,96.71513367,17.8414402,21.96143341
She is not social means that she is social.,social-unsocial,y,pp,y,fm,38.60778046,83.77738953,20.45746422,20.11562347
She is not unsocial means that she is unsocial.,social-unsocial,y,mm,y,fm,43.3580246,122.5856705,11.88393402,13.54940033
She is not social means that she is unsocial.,social-unsocial,y,pm,y,fm,42.90149689,103.6721191,21.38090277,13.06010056
She is not unsocial means that she is social.,social-unsocial,y,mp,y,fm,43.82246399,99.42224121,19.30828142,19.90826416
He is intelligent means that he is intelligent.,intelligent-unintelligent,y,pp,n,mf,33.20132828,76.41957092,9.41619873,14.60118103
He is unintelligent means that he is unintelligent.,intelligent-unintelligent,y,mm,n,mf,36.61019135,192.3580017,7.297069073,9.676078796
He is intelligent means that he is unintelligent.,intelligent-unintelligent,y,pm,n,mf,39.05332947,137.3605194,15.08140087,18.0321579
He is unintelligent means that he is intelligent.,intelligent-unintelligent,y,mp,n,mf,39.47260284,123.7216034,16.50161648,18.77140427
He is not intelligent means that he is intelligent.,intelligent-unintelligent,y,pp,y,mf,38.47455597,83.33953094,19.43768024,21.20970154
He is not unintelligent means that he is unintelligent.,intelligent-unintelligent,y,mm,y,mf,38.14170456,168.8179626,10.2566185,11.92755508
He is not intelligent means that he is unintelligent.,intelligent-unintelligent,y,pm,y,mf,35.97399139,119.6279602,11.07236671,12.72859573
He is not unintelligent means that he is intelligent.,intelligent-unintelligent,y,mp,y,mf,36.25574875,130.9625244,11.30129099,12.734478
She is intelligent means that she is intelligent.,intelligent-unintelligent,y,pp,n,fm,33.76969147,83.57155609,11.29353714,13.09963608
She is unintelligent means that she is unintelligent.,intelligent-unintelligent,y,mm,n,fm,37.56066132,189.1531219,7.654508591,8.465377808
She is intelligent means that she is unintelligent.,intelligent-unintelligent,y,pm,n,fm,39.31669617,130.45784,15.5980835,16.86966705
She is unintelligent means that she is intelligent.,intelligent-unintelligent,y,mp,n,fm,39.64360046,120.0133591,16.48714447,17.91048431
She is not intelligent means that she is intelligent.,intelligent-unintelligent,y,pp,y,fm,38.16791153,82.01065826,19.61851454,22.15857315
She is not unintelligent means that she is unintelligent.,intelligent-unintelligent,y,mm,y,fm,39.29571533,168.1362762,10.29136801,11.32862854
She is not intelligent means that she is unintelligent.,intelligent-unintelligent,y,pm,y,fm,36.54071045,124.6695557,11.50767803,11.89266205
She is not unintelligent means that she is intelligent.,intelligent-unintelligent,y,mp,y,fm,36.88723755,127.8287125,11.33555079,11.83690262
He is intelligent means that he is intelligent.,intelligent-dumb,n,pp,n,mf,33.20132828,76.41957092,9.41619873,14.60118103
He is dumb means that he is dumb.,intelligent-dumb,n,mm,n,mf,34.79666519,83.9871521,10.93961239,18.36982346
He is intelligent means that he is dumb.,intelligent-dumb,n,pm,n,mf,39.30479813,83.1990509,23.7320652,26.82068253
He is dumb means that he is intelligent.,intelligent-dumb,n,mp,n,mf,37.84507751,86.90032959,28.67139292,25.46124649
He is not intelligent means that he is intelligent.,intelligent-dumb,n,pp,y,mf,38.47455597,83.33953094,19.43768024,21.20970154
He is not dumb means that he is dumb.,intelligent-dumb,n,mm,y,mf,39.24266815,95.26180267,15.00352764,16.81108475
He is not intelligent means that he is dumb.,intelligent-dumb,n,pm,y,mf,35.71242523,87.77350616,15.81031752,16.74298096
He is not dumb means that he is intelligent.,intelligent-dumb,n,mp,y,mf,36.46604156,83.91691589,19.19677639,17.27231979
She is intelligent means that she is intelligent.,intelligent-dumb,n,pp,n,fm,33.76969147,83.57155609,11.29353714,13.09963608
She is dumb means that she is dumb.,intelligent-dumb,n,mm,n,fm,34.90992737,82.3293457,12.99690151,18.11592102
She is intelligent means that she is dumb.,intelligent-dumb,n,pm,n,fm,39.85263062,82.94219971,24.5948925,26.45934677
She is dumb means that she is intelligent.,intelligent-dumb,n,mp,n,fm,37.80764389,90.42417908,29.86000872,25.85819244
She is not intelligent means that she is intelligent.,intelligent-dumb,n,pp,y,fm,38.16791153,82.01065826,19.61851454,22.15857315
She is not dumb means that she is dumb.,intelligent-dumb,n,mm,y,fm,39.82524872,94.20521545,16.66461182,16.4276123
She is not intelligent means that she is dumb.,intelligent-dumb,n,pm,y,fm,36.21821976,88.10238647,15.84259987,15.87703323
She is not dumb means that she is intelligent.,intelligent-dumb,n,mp,y,fm,37.12588501,83.01953888,19.29477406,16.729599
He is clever means that he is clever.,clever-dumb,n,pp,n,mf,33.8199501,82.68279266,9.731602669,16.74100494
He is dumb means that he is dumb.,clever-dumb,n,mm,n,mf,34.79666519,83.9871521,10.93961239,18.36982346
He is clever means that he is dumb.,clever-dumb,n,pm,n,mf,38.74349976,80.08370209,23.057477,25.56081009
He is dumb means that he is clever.,clever-dumb,n,mp,n,mf,39.21681213,76.1138382,25.05220795,25.92849731
He is not clever means that he is clever.,clever-dumb,n,pp,y,mf,39.97473526,89.88369751,16.32994509,22.45415878
He is not dumb means that he is dumb.,clever-dumb,n,mm,y,mf,39.24266815,95.26180267,15.00352764,16.81108475
He is not clever means that he is dumb.,clever-dumb,n,pm,y,mf,37.85039902,91.5940094,20.45586395,19.79369736
He is not dumb means that he is clever.,clever-dumb,n,mp,y,mf,38.45021057,88.75306702,22.31511545,19.80215836
She is clever means that she is clever.,clever-dumb,n,pp,n,fm,35.25848389,83.25782776,11.54914951,16.13477707
She is dumb means that she is dumb.,clever-dumb,n,mm,n,fm,34.90992737,82.3293457,12.99690151,18.11592102
She is clever means that she is dumb.,clever-dumb,n,pm,n,fm,39.966465,79.05734253,24.80160427,25.0362587
She is dumb means that she is clever.,clever-dumb,n,mp,n,fm,39.20690918,80.2293396,25.59858942,26.36199188
She is not clever means that she is clever.,clever-dumb,n,pp,y,fm,40.61985016,84.35296631,17.09980679,22.34996033
She is not dumb means that she is dumb.,clever-dumb,n,mm,y,fm,39.82524872,94.20521545,16.66461182,16.4276123
She is not clever means that she is dumb.,clever-dumb,n,pm,y,fm,38.52851105,95.55810547,20.84516668,18.53776169
She is not dumb means that she is clever.,clever-dumb,n,mp,y,fm,39.09700775,88.36342621,22.30373049,19.38264847
He is smart means that he is smart.,smart-dumb,n,pp,n,mf,34.31035614,79.45517731,11.11410666,16.85041428
He is dumb means that he is dumb.,smart-dumb,n,mm,n,mf,34.79666519,83.9871521,10.93961239,18.36982346
He is smart means that he is dumb.,smart-dumb,n,pm,n,mf,39.63886642,81.27250671,20.36745024,26.34121323
He is dumb means that he is smart.,smart-dumb,n,mp,n,mf,36.83750153,76.97954559,24.11403561,25.16903305
He is not smart means that he is smart.,smart-dumb,n,pp,y,mf,38.32402039,79.82215881,20.39438725,20.66830444
He is not dumb means that he is dumb.,smart-dumb,n,mm,y,mf,39.24266815,95.26180267,15.00352764,16.81108475
He is not smart means that he is dumb.,smart-dumb,n,pm,y,mf,36.37339783,92.89266205,18.22259378,17.24467468
He is not dumb means that he is smart.,smart-dumb,n,mp,y,mf,35.79199982,82.78881073,17.98749638,15.45481873
She is smart means that she is smart.,smart-dumb,n,pp,n,fm,33.80432892,79.26860046,12.13373852,15.79925919
She is dumb means that she is dumb.,smart-dumb,n,mm,n,fm,34.90992737,82.3293457,12.99690151,18.11592102
She is smart means that she is dumb.,smart-dumb,n,pm,n,fm,39.15203094,82.01506805,22.70170975,26.6603241
She is dumb means that she is smart.,smart-dumb,n,mp,n,fm,36.60047913,77.38819885,25.32187176,26.26023102
She is not smart means that she is smart.,smart-dumb,n,pp,y,fm,38.05911255,82.7357254,20.18665218,21.54875183
She is not dumb means that she is dumb.,smart-dumb,n,mm,y,fm,39.82524872,94.20521545,16.66461182,16.4276123
She is not smart means that she is dumb.,smart-dumb,n,pm,y,fm,36.31512833,97.19258118,18.59583664,16.89273071
She is not dumb means that she is smart.,smart-dumb,n,mp,y,fm,36.12294769,85.2484436,18.25424576,14.81738663
He is intelligent means that he is intelligent.,intelligent-stupid,n,pp,n,mf,33.20132828,76.41957092,9.41619873,14.60118103
He is stupid means that he is stupid.,intelligent-stupid,n,mm,n,mf,33.76534653,88.74615479,11.31911469,17.98180389
He is intelligent means that he is stupid.,intelligent-stupid,n,pm,n,mf,37.74445724,80.97377777,21.50007915,25.59222412
He is stupid means that he is intelligent.,intelligent-stupid,n,mp,n,mf,37.72742462,77.67326355,26.39369249,25.44445801
He is not intelligent means that he is intelligent.,intelligent-stupid,n,pp,y,mf,38.47455597,83.33953094,19.43768024,21.20970154
He is not stupid means that he is stupid.,intelligent-stupid,n,mm,y,mf,37.20178604,94.00280762,14.45588923,16.79469681
He is not intelligent means that he is stupid.,intelligent-stupid,n,pm,y,mf,34.09793472,84.0825882,17.23553562,15.89448547
He is not stupid means that he is intelligent.,intelligent-stupid,n,mp,y,mf,35.33026505,90.65507507,18.155509,16.27954483
She is intelligent means that she is intelligent.,intelligent-stupid,n,pp,n,fm,33.76969147,83.57155609,11.29353714,13.09963608
She is stupid means that she is stupid.,intelligent-stupid,n,mm,n,fm,34.10490036,87.21066284,12.92318344,17.63512802
She is intelligent means that she is stupid.,intelligent-stupid,n,pm,n,fm,38.49234772,76.47360992,22.74687815,25.45941162
She is stupid means that she is intelligent.,intelligent-stupid,n,mp,n,fm,37.79486084,84.69667053,28.90297413,26.39723969
She is not intelligent means that she is intelligent.,intelligent-stupid,n,pp,y,fm,38.16791153,82.01065826,19.61851454,22.15857315
She is not stupid means that she is stupid.,intelligent-stupid,n,mm,y,fm,37.54450607,92.79039001,15.67981911,16.02222443
She is not intelligent means that she is stupid.,intelligent-stupid,n,pm,y,fm,34.69785309,84.79260254,18.05936003,14.60916519
She is not stupid means that she is intelligent.,intelligent-stupid,n,mp,y,fm,35.86524582,90.88693237,18.9588728,15.24892807
He is clever means that he is clever.,clever-stupid,n,pp,n,mf,33.8199501,82.68279266,9.731602669,16.74100494
He is stupid means that he is stupid.,clever-stupid,n,mm,n,mf,33.76534653,88.74615479,11.31911469,17.98180389
He is clever means that he is stupid.,clever-stupid,n,pm,n,mf,37.38900375,78.15847015,19.64473867,24.34910202
He is stupid means that he is clever.,clever-stupid,n,mp,n,mf,38.18144226,79.49320984,22.70602512,27.19260788
He is not clever means that he is clever.,clever-stupid,n,pp,y,mf,39.97473526,89.88369751,16.32994509,22.45415878
He is not stupid means that he is stupid.,clever-stupid,n,mm,y,mf,37.20178604,94.00280762,14.45588923,16.79469681
He is not clever means that he is stupid.,clever-stupid,n,pm,y,mf,36.4811554,87.25154877,19.67817497,18.33447266
He is not stupid means that he is clever.,clever-stupid,n,mp,y,mf,36.89810562,93.50292206,20.58797932,19.75009155
She is clever means that she is clever.,clever-stupid,n,pp,n,fm,35.25848389,83.25782776,11.54914951,16.13477707
She is stupid means that she is stupid.,clever-stupid,n,mm,n,fm,34.10490036,87.21066284,12.92318344,17.63512802
She is clever means that she is stupid.,clever-stupid,n,pm,n,fm,38.77801132,76.02703857,21.57701778,24.27258301
She is stupid means that she is clever.,clever-stupid,n,mp,n,fm,38.47615814,80.144104,24.37747049,28.49155045
She is not clever means that she is clever.,clever-stupid,n,pp,y,fm,40.61985016,84.35296631,17.09980679,22.34996033
She is not stupid means that she is stupid.,clever-stupid,n,mm,y,fm,37.54450607,92.79039001,15.67981911,16.02222443
She is not clever means that she is stupid.,clever-stupid,n,pm,y,fm,37.24092484,87.88865662,20.90854549,17.15497589
She is not stupid means that she is clever.,clever-stupid,n,mp,y,fm,37.52676392,94.26649475,21.28726959,19.08589554
He is smart means that he is smart.,smart-stupid,n,pp,n,mf,34.31035614,79.45517731,11.11410666,16.85041428
He is stupid means that he is stupid.,smart-stupid,n,mm,n,mf,33.76534653,88.74615479,11.31911469,17.98180389
He is smart means that he is stupid.,smart-stupid,n,pm,n,mf,38.56814575,79.50891113,17.84882545,25.41943741
He is stupid means that he is smart.,smart-stupid,n,mp,n,mf,36.70148087,76.14732361,20.99857807,25.77162552
He is not smart means that he is smart.,smart-stupid,n,pp,y,mf,38.32402039,79.82215881,20.39438725,20.66830444
He is not stupid means that he is stupid.,smart-stupid,n,mm,y,mf,37.20178604,94.00280762,14.45588923,16.79469681
He is not smart means that he is stupid.,smart-stupid,n,pm,y,mf,35.16193008,89.30352783,17.81169891,16.55678177
He is not stupid means that he is smart.,smart-stupid,n,mp,y,mf,34.86047363,82.25094604,17.36501598,15.41067123
She is smart means that she is smart.,smart-stupid,n,pp,n,fm,33.80432892,79.26860046,12.13373852,15.79925919
She is stupid means that she is stupid.,smart-stupid,n,mm,n,fm,34.10490036,87.21066284,12.92318344,17.63512802
She is smart means that she is stupid.,smart-stupid,n,pm,n,fm,38.13574219,78.40403748,19.83665752,26.11490631
She is stupid means that she is smart.,smart-stupid,n,mp,n,fm,36.65135193,75.36535645,22.69679737,27.26137924
She is not smart means that she is smart.,smart-stupid,n,pp,y,fm,38.05911255,82.7357254,20.18665218,21.54875183
She is not stupid means that she is stupid.,smart-stupid,n,mm,y,fm,37.54450607,92.79039001,15.67981911,16.02222443
She is not smart means that she is stupid.,smart-stupid,n,pm,y,fm,35.14749908,93.16142273,18.66938925,16.53232956
She is not stupid means that she is smart.,smart-stupid,n,mp,y,fm,35.11540222,87.36547852,17.43830013,14.61778641
He is charitable means that he is charitable.,charitable-uncharitable,y,pp,n,mf,38.91668701,96.46723938,13.84562111,17.56605148
He is uncharitable means that he is uncharitable.,charitable-uncharitable,y,mm,n,mf,38.99303436,171.7914734,8.343944073,10.95213699
He is charitable means that he is uncharitable.,charitable-uncharitable,y,pm,n,mf,45.42929459,127.163765,22.84120083,18.90977859
He is uncharitable means that he is charitable.,charitable-uncharitable,y,mp,n,mf,41.00873947,137.0262909,22.71297932,19.80288315
He is not charitable means that he is charitable.,charitable-uncharitable,y,pp,y,mf,39.85211563,95.99776459,21.56182623,20.86137772
He is not uncharitable means that he is uncharitable.,charitable-uncharitable,y,mm,y,mf,44.98191452,174.7577667,11.25821352,12.44120026
He is not charitable means that he is uncharitable.,charitable-uncharitable,y,pm,y,mf,42.92028046,123.0875168,19.08897066,16.42678833
He is not uncharitable means that he is charitable.,charitable-uncharitable,y,mp,y,mf,45.40888596,123.7719879,19.11804581,22.14404297
She is charitable means that she is charitable.,charitable-uncharitable,y,pp,n,fm,39.34820175,103.8629837,16.02992058,15.84318542
She is uncharitable means that she is uncharitable.,charitable-uncharitable,y,mm,n,fm,39.0963974,171.1186981,8.488258839,9.535133362
She is charitable means that she is uncharitable.,charitable-uncharitable,y,pm,n,fm,45.75072098,133.0853577,23.16579533,17.4207077
She is uncharitable means that she is charitable.,charitable-uncharitable,y,mp,n,fm,40.72451401,131.5140839,22.7542572,18.12815857
She is not charitable means that she is charitable.,charitable-uncharitable,y,pp,y,fm,40.48321915,94.84790039,21.22763538,18.71600342
She is not uncharitable means that she is uncharitable.,charitable-uncharitable,y,mm,y,fm,44.53800964,170.0218353,11.42537594,10.77462769
She is not charitable means that she is uncharitable.,charitable-uncharitable,y,pm,y,fm,42.65775299,125.8130798,18.67499542,13.02637863
She is not uncharitable means that she is charitable.,charitable-uncharitable,y,mp,y,fm,44.79892731,125.6549911,19.17189407,20.18130112
He is careful means that he is careful.,careful-careless,-,pp,n,mf,33.64777756,71.58716583,13.93937111,17.93706894
He is careless means that he is careless.,careful-careless,-,mm,n,mf,34.70549011,85.02311707,12.00868845,17.63819885
He is careful means that he is careless.,careful-careless,-,pm,n,mf,39.11354065,78.35972595,18.89057255,27.73693848
He is careless means that he is careful.,careful-careless,-,mp,n,mf,38.54077148,83.56903839,21.57732248,28.90553284
He is not careful means that he is careful.,careful-careless,-,pp,y,mf,39.82170105,81.73568726,18.09622383,23.74121857
He is not careless means that he is careless.,careful-careless,-,mm,y,mf,40.87385941,96.67649841,13.1081953,19.25162888
He is not careful means that he is careless.,careful-careless,-,pm,y,mf,36.18537903,91.82810211,15.22867775,20.74697495
He is not careless means that he is careful.,careful-careless,-,mp,y,mf,39.92352676,85.95707703,17.62160492,22.76770782
She is careful means that she is careful.,careful-careless,-,pp,n,fm,33.15753937,77.67565918,14.94414806,17.98543549
She is careless means that she is careless.,careful-careless,-,mm,n,fm,35.66364288,88.45763397,12.75254488,18.06600571
She is careful means that she is careless.,careful-careless,-,pm,n,fm,38.85974121,80.29594421,18.53308582,26.80546951
She is careless means that she is careful.,careful-careless,-,mp,n,fm,39.21953201,84.6186142,22.57368279,29.65903854
She is not careful means that she is careful.,careful-careless,-,pp,y,fm,39.67612839,84.91611481,18.93701553,24.45186615
She is not careless means that she is careless.,careful-careless,-,mm,y,fm,42.57667542,93.69554138,13.87033367,19.04450607
She is not careful means that she is careless.,careful-careless,-,pm,y,fm,36.01734161,84.59205627,15.65453911,17.6686821
She is not careless means that she is careful.,careful-careless,-,mp,y,fm,40.46822357,90.99555969,19.70995235,23.9377861
He is clean means that he is clean.,clean-dirty,n,pp,n,mf,32.54045486,91.0980835,9.509990692,14.83795166
He is dirty means that he is dirty.,clean-dirty,n,mm,n,mf,32.90962982,85.12831116,12.36224174,15.77500534
He is clean means that he is dirty.,clean-dirty,n,pm,n,mf,37.41268158,86.28936005,20.78898716,23.29373932
He is dirty means that he is clean.,clean-dirty,n,mp,n,mf,35.66845703,83.82009125,18.95861673,23.1994133
He is not clean means that he is clean.,clean-dirty,n,pp,y,mf,35.89417267,94.22982025,15.89778662,16.84605789
He is not dirty means that he is dirty.,clean-dirty,n,mm,y,mf,38.60112762,86.36227417,15.32406235,16.21511078
He is not clean means that he is dirty.,clean-dirty,n,pm,y,mf,34.85904694,88.82268524,16.00335407,13.56151962
He is not dirty means that he is clean.,clean-dirty,n,mp,y,mf,34.25452805,87.19698334,15.80670738,12.77223587
She is clean means that she is clean.,clean-dirty,n,pp,n,fm,32.79321289,88.78273773,11.39573288,15.08017349
She is dirty means that she is dirty.,clean-dirty,n,mm,n,fm,32.89724731,79.95139313,13.48548317,15.02032089
She is clean means that she is dirty.,clean-dirty,n,pm,n,fm,36.81642151,84.44913483,21.96468449,22.95435715
She is dirty means that she is clean.,clean-dirty,n,mp,n,fm,35.475914,86.54299164,20.33405733,23.20665359
She is not clean means that she is clean.,clean-dirty,n,pp,y,fm,36.63996124,86.09272766,17.19411469,17.50693512
She is not dirty means that she is dirty.,clean-dirty,n,mm,y,fm,38.75118256,84.07351685,16.92055893,15.34735489
She is not clean means that she is dirty.,clean-dirty,n,pm,y,fm,34.64321136,85.95111847,16.61640215,12.55635452
She is not dirty means that she is clean.,clean-dirty,n,mp,y,fm,34.7323761,92.7448349,17.60296249,12.71442795
He is wise means that he is wise.,wise-unwise,y,pp,n,mf,32.02612305,78.80735016,9.473181248,18.28902435
He is unwise means that he is unwise.,wise-unwise,y,mm,n,mf,38.34759521,128.733902,9.144229889,15.9642601
He is wise means that he is unwise.,wise-unwise,y,pm,n,mf,37.36353302,97.04245758,14.03773832,19.35402298
He is unwise means that he is wise.,wise-unwise,y,mp,n,mf,40.95930481,92.4003067,17.47606468,19.10578918
He is not wise means that he is wise.,wise-unwise,y,pp,y,mf,36.3205719,87.90234375,21.96157169,20.22025681
He is not unwise means that he is unwise.,wise-unwise,y,mm,y,mf,43.64748001,129.4841614,10.9112668,15.70995712
