sentence,adjectives,transparency,polarity,negation,gender,roberta_large_surprisal,bert_large_cased_surprisal,xlnet_large_cased_surprisal,gpt2_large_surprisal
She is not clever. He too is dumb.,clever-dumb,n,pm,y,fm,-6.1768951416015625;-0.203704833984375;-1.6053733825683594;-8.008094787597656;-0.00930023193359375;-4.477386474609375;-2.8426742553710938;-0.06481170654296875;-4.2670135498046875;-0.03125,-4.7643327713012695;-0.04580211639404297;-3.062190055847168;-6.76766300201416;-0.020463943481445312;-3.4207420349121094;-1.93359375;-0.018799781799316406;-4.195451736450195;-0.021329879760742188,0.0;-10.045112609863281;-14.378992080688477;-12.932221412658691;-5.633659362792969;-2.6787147521972656;-21.78284454345703;-8.85140609741211;-10.786359786987305;-4.6334991455078125,0.0;-3.225691318511963;-2.9663033485412598;-10.08151626586914;-1.9907407760620117;-5.62448787689209;-8.600635528564453;-0.883418083190918;-5.167843818664551;-0.9054651260375977
She is not dumb. He too is clever.,clever-dumb,n,mp,y,fm,-5.613842010498047;-0.38626861572265625;-0.054656982421875;-4.351047515869141;-0.01224517822265625;-4.169288635253906;-2.0406112670898438;-0.05361175537109375;-5.816616058349609;-0.033843994140625,-5.956952095031738;-0.043201446533203125;-0.46297168731689453;-4.028356552124023;-0.021137237548828125;-6.533367156982422;-2.404874801635742;-0.018550872802734375;-5.782896518707275;-0.020717620849609375,0.0;-12.172653198242188;-7.454082489013672;-12.311585426330566;-8.213409423828125;-3.245067596435547;-19.98733139038086;-8.41744613647461;-12.7203369140625;-6.026103973388672,0.0;-3.225691318511963;-2.9663033485412598;-8.400833129882812;-1.4285058975219727;-5.650545120239258;-8.706161499023438;-1.285353660583496;-6.128718376159668;-1.0805578231811523
He is smart. She too is smart.,smart-dumb,n,pp,n,mf,-1.1684303283691406;-0.28515625;-0.096405029296875;-0.00457763671875;-0.9526443481445312;-1.6132698059082031;-0.05513763427734375;-0.1694488525390625;-0.00970458984375,-2.0235767364501953;-0.10154914855957031;-0.0767068862915039;-0.03193092346191406;-1.5119714736938477;-3.9169206619262695;-0.013348579406738281;-0.09221267700195312;-0.0193939208984375,0.0;-8.219070434570312;-16.52080535888672;-6.772727966308594;-3.3641281127929688;-23.235458374023438;-6.053707122802734;-13.255138397216797;-6.129020690917969,0.0;-3.1556758880615234;-7.665642738342285;-2.6373233795166016;-5.954438209533691;-8.344754219055176;-0.7954006195068359;-0.8242807388305664;-0.7178239822387695
He is dumb. She too is dumb.,smart-dumb,n,mm,n,mf,-2.8722381591796875;-0.37186431884765625;-0.10559844970703125;-0.0083465576171875;-2.1650428771972656;-1.749481201171875;-0.04027557373046875;-0.05145263671875;-0.01898193359375,-1.8656272888183594;-0.2885751724243164;-0.07558441162109375;-0.04883098602294922;-1.5687808990478516;-3.915618896484375;-0.028580665588378906;-0.060013771057128906;-0.022157669067382812,0.0;-8.346981048583984;-17.4014892578125;-4.887489318847656;-3.7959213256835938;-19.88507080078125;-3.8448238372802734;-14.710861206054688;-4.8596954345703125,0.0;-3.1556758880615234;-9.843184471130371;-2.200763702392578;-5.2592926025390625;-8.202292442321777;-0.7775354385375977;-0.5146827697753906;-0.6090621948242188
He is smart. She too is dumb.,smart-dumb,n,pm,n,mf,-4.864631652832031;-0.3531646728515625;-3.618927001953125;-0.0111846923828125;-2.5384254455566406;-4.3715057373046875;-0.10843658447265625;-7.783901214599609;-0.02256011962890625,-2.3949384689331055;-0.0900869369506836;-5.136490821838379;-0.03451347351074219;-2.024064064025879;-3.8388004302978516;-0.024705886840820312;-6.041189193725586;-0.019474029541015625,0.0;-8.717681884765625;-20.411239624023438;-5.078971862792969;-3.8605613708496094;-26.797134399414062;-5.8643646240234375;-16.12063217163086;-4.196449279785156,0.0;-3.1556758880615234;-7.665642738342285;-2.6373233795166016;-5.954438209533691;-8.344754219055176;-0.7954006195068359;-7.091513633728027;-0.8276348114013672
He is dumb. She too is smart.,smart-dumb,n,mp,n,mf,-2.536785125732422;-0.44911956787109375;-9.019279479980469;-0.01758575439453125;-1.7568550109863281;-3.8623886108398438;-0.0769195556640625;-6.064151763916016;-0.0255584716796875,-2.555095672607422;-0.8246917724609375;-6.807616233825684;-0.03619575500488281;-1.958237648010254;-4.002089500427246;-0.023077964782714844;-5.713391304016113;-0.0201873779296875,0.0;-8.222007751464844;-20.430931091308594;-4.759670257568359;-4.2483978271484375;-22.84165382385254;-8.364715576171875;-12.600845336914062;-7.256809234619141,0.0;-3.1556758880615234;-9.843184471130371;-2.200763702392578;-5.2592926025390625;-8.202292442321777;-0.7775354385375977;-4.613048076629639;-0.813323974609375
He is not smart. She too is smart.,smart-dumb,n,pp,y,mf,-1.0932083129882812;-0.24730682373046875;-4.816047668457031;-4.988487243652344;-0.01660919189453125;-1.4304847717285156;-4.242206573486328;-0.1290435791015625;-3.5800552368164062;-0.0317840576171875,-1.6061334609985352;-0.08297157287597656;-3.5208702087402344;-1.4124259948730469;-0.029119491577148438;-1.4814214706420898;-3.6318359375;-0.04248619079589844;-0.7826261520385742;-0.026754379272460938,0.0;-12.23101806640625;-9.34322738647461;-11.239582061767578;-8.563854217529297;-5.781463623046875;-18.12871551513672;-5.58154296875;-12.65298080444336;-7.006458282470703,0.0;-3.1556758880615234;-2.8939313888549805;-7.786442279815674;-2.8060503005981445;-5.822051525115967;-8.593965530395508;-0.8263187408447266;-3.2027177810668945;-0.8683958053588867
He is not dumb. She too is dumb.,smart-dumb,n,mm,y,mf,-2.778247833251953;-0.45946502685546875;-2.047382354736328;-1.3626823425292969;-0.01006317138671875;-2.9556198120117188;-3.7978134155273438;-0.09305572509765625;-1.3878402709960938;-0.025634765625,-2.4051103591918945;-0.07961750030517578;-1.3009872436523438;-0.3907203674316406;-0.026372909545898438;-2.5440540313720703;-3.438913345336914;-0.03467750549316406;-1.0613365173339844;-0.028560638427734375,0.0;-12.460208892822266;-6.538105010986328;-13.091133117675781;-2.5311622619628906;-4.968864440917969;-16.213245391845703;-6.411403656005859;-14.319829940795898;-6.265880584716797,0.0;-3.1556758880615234;-2.8939313888549805;-8.272940635681152;-1.4019184112548828;-5.7721357345581055;-8.454610824584961;-1.3098230361938477;-4.799604415893555;-0.9486408233642578
He is not smart. She too is dumb.,smart-dumb,n,pm,y,mf,-4.5165863037109375;-0.382049560546875;-0.7330093383789062;-4.389656066894531;-0.01068115234375;-4.700672149658203;-2.0141029357910156;-0.048065185546875;-2.261566162109375;-0.03697967529296875,-3.33682918548584;-0.053544044494628906;-1.7996511459350586;-3.987089157104492;-0.023275375366210938;-3.228961944580078;-3.715646743774414;-0.035391807556152344;-3.1623640060424805;-0.0215606689453125,0.0;-12.842178344726562;-15.390907287597656;-15.738727569580078;-5.339183807373047;-4.038948059082031;-20.82498550415039;-7.840496063232422;-12.287223815917969;-4.080936431884766,0.0;-3.1556758880615234;-2.8939313888549805;-7.786442279815674;-2.8060503005981445;-5.822051525115967;-8.593965530395508;-0.8263187408447266;-4.481462001800537;-0.8225669860839844
He is not dumb. She too is smart.,smart-dumb,n,mp,y,mf,-4.478172302246094;-0.5660476684570312;-0.11467742919921875;-3.3482894897460938;-0.00907135009765625;-4.730552673339844;-2.384784698486328;-0.03037261962890625;-1.1801414489746094;-0.0246429443359375,-5.343296527862549;-0.08919525146484375;-0.38665771484375;-2.9900054931640625;-0.019077301025390625;-6.631032943725586;-3.899843215942383;-0.018505096435546875;-2.0716419219970703;-0.020856857299804688,0.0;-11.417354583740234;-12.073360443115234;-16.369258880615234;-6.324167251586914;-4.642936706542969;-19.144149780273438;-8.065696716308594;-10.895801544189453;-6.780391693115234,0.0;-3.1556758880615234;-2.8939313888549805;-8.272940635681152;-1.4019184112548828;-5.7721357345581055;-8.454610824584961;-1.3098230361938477;-2.5162363052368164;-1.0142669677734375
She is smart. He too is smart.,smart-dumb,n,pp,n,fm,-1.8153305053710938;-0.3209075927734375;-0.0746002197265625;-0.00331878662109375;-0.5906448364257812;-1.6096305847167969;-0.06116485595703125;-0.1896514892578125;-0.01019287109375,-2.1272945404052734;-0.12419795989990234;-0.09086132049560547;-0.028196334838867188;-1.5069332122802734;-2.848475456237793;-0.008365631103515625;-0.10478782653808594;-0.016607284545898438,0.0;-10.955970764160156;-15.077804565429688;-6.437690734863281;-3.3874969482421875;-19.834930419921875;-5.480609893798828;-10.387580871582031;-6.111030578613281,0.0;-3.225691318511963;-7.175273418426514;-2.6554689407348633;-5.842379570007324;-8.476041793823242;-0.7125997543334961;-0.788722038269043;-0.6907567977905273
She is dumb. He too is dumb.,smart-dumb,n,mm,n,fm,-4.759654998779297;-0.35437774658203125;-0.1449432373046875;-0.00588226318359375;-0.8497085571289062;-2.000904083251953;-0.06360626220703125;-0.04923248291015625;-0.0160369873046875,-2.3384857177734375;-0.2987995147705078;-0.11772537231445312;-0.03738212585449219;-1.3548517227172852;-2.289900779724121;-0.01659393310546875;-0.060500144958496094;-0.016689300537109375,0.0;-4.594810485839844;-14.0660400390625;-5.3581390380859375;-10.447265625;-14.550849914550781;-2.2346229553222656;-13.452457427978516;-4.996013641357422,0.0;-3.225691318511963;-9.679548263549805;-2.1406726837158203;-5.454642295837402;-8.386220932006836;-0.6857719421386719;-0.5635805130004883;-0.6499843597412109
She is smart. He too is dumb.,smart-dumb,n,pm,n,fm,-6.027851104736328;-0.38262939453125;-3.1496429443359375;-0.00557708740234375;-0.8042221069335938;-4.532600402832031;-0.11559295654296875;-6.4308929443359375;-0.0186614990234375,-2.4282541275024414;-0.06734561920166016;-4.907925605773926;-0.032517433166503906;-1.4953222274780273;-2.228245735168457;-0.016655921936035156;-5.826312065124512;-0.016920089721679688,0.0;-11.857582092285156;-17.2796630859375;-7.4419403076171875;-3.410968780517578;-21.702377319335938;-6.5719146728515625;-16.474044799804688;-5.496135711669922,0.0;-3.225691318511963;-7.175273418426514;-2.6554689407348633;-5.842379570007324;-8.476041793823242;-0.7125997543334961;-6.5643439292907715;-0.7732143402099609
She is dumb. He too is smart.,smart-dumb,n,mp,n,fm,-4.023944854736328;-0.4413604736328125;-9.417621612548828;-0.0102081298828125;-0.8406600952148438;-4.167308807373047;-0.0748443603515625;-5.704647064208984;-0.0214385986328125,-3.247746467590332;-0.70458984375;-6.919327735900879;-0.033072471618652344;-2.3236122131347656;-2.6363983154296875;-0.016961097717285156;-5.875982284545898;-0.017457962036132812,0.0;-10.505630493164062;-22.026351928710938;-5.338653564453125;-4.290660858154297;-17.9447021484375;-8.133476257324219;-10.320785522460938;-7.141704559326172,0.0;-3.225691318511963;-9.679548263549805;-2.1406726837158203;-5.454642295837402;-8.386220932006836;-0.6857719421386719;-4.828878402709961;-0.8218011856079102
She is not smart. He too is smart.,smart-dumb,n,pp,y,fm,-1.6179580688476562;-0.25677490234375;-5.327995300292969;-4.800594329833984;-0.01348114013671875;-0.748687744140625;-4.556877136230469;-0.0749053955078125;-3.057819366455078;-0.033416748046875,-2.2377071380615234;-0.09260368347167969;-3.4358224868774414;-1.5323810577392578;-0.027252197265625;-1.3226404190063477;-2.7043304443359375;-0.028122901916503906;-0.8820867538452148;-0.025089263916015625,0.0;-6.024055480957031;-1.9377288818359375;-10.250663757324219;-5.673023223876953;-8.76070785522461;-12.896530151367188;-3.2642784118652344;-12.876930236816406;-4.296302795410156,0.0;-3.225691318511963;-2.9663033485412598;-7.799537181854248;-2.560260772705078;-5.774855613708496;-8.862442016601562;-0.6929349899291992;-3.3878583908081055;-0.8448114395141602
She is not dumb. He too is dumb.,smart-dumb,n,mm,y,fm,-4.235904693603516;-0.365081787109375;-1.4817085266113281;-1.962493896484375;-0.0086212158203125;-1.2273712158203125;-4.778114318847656;-0.14888763427734375;-0.9701766967773438;-0.02576446533203125,-3.057684898376465;-0.06157112121582031;-1.224822998046875;-0.38965606689453125;-0.023946762084960938;-1.8642940521240234;-2.421031951904297;-0.02025604248046875;-0.8981943130493164;-0.025081634521484375,0.0;-11.424942016601562;-4.036256313323975;-11.157975196838379;-3.8622703552246094;-4.227897644042969;-15.117961883544922;-6.7166748046875;-13.349510192871094;-5.635467529296875,0.0;-3.225691318511963;-2.9663033485412598;-8.400833129882812;-1.4285058975219727;-5.650545120239258;-8.706161499023438;-1.285353660583496;-4.312778949737549;-0.9397916793823242
She is not smart. He too is dumb.,smart-dumb,n,pm,y,fm,-5.865329742431641;-0.34808349609375;-1.0045852661132812;-5.167201995849609;-0.0099334716796875;-2.8764266967773438;-2.7023468017578125;-0.05681610107421875;-2.18121337890625;-0.03742218017578125,-3.84128475189209;-0.040283203125;-1.6216182708740234;-3.9143829345703125;-0.022142410278320312;-2.1578826904296875;-2.6045875549316406;-0.022256851196289062;-2.959479331970215;-0.021856307983398438,0.0;-9.523921966552734;-11.52646255493164;-9.908909797668457;-7.651947021484375;-2.2150535583496094;-20.441143035888672;-8.923095703125;-12.055135726928711;-4.391792297363281,0.0;-3.225691318511963;-2.9663033485412598;-7.799537181854248;-2.560260772705078;-5.774855613708496;-8.862442016601562;-0.6929349899291992;-4.210576057434082;-0.7987689971923828
She is not dumb. He too is smart.,smart-dumb,n,mp,y,fm,-5.764274597167969;-0.5353240966796875;-0.10276031494140625;-3.0541954040527344;-0.00888824462890625;-3.1862564086914062;-2.915302276611328;-0.0488433837890625;-1.68353271484375;-0.02835845947265625,-6.078458786010742;-0.053330421447753906;-0.3401012420654297;-2.7962160110473633;-0.01821136474609375;-6.477349281311035;-3.187045097351074;-0.013975143432617188;-2.199002265930176;-0.01876068115234375,0.0;-8.97304916381836;-3.5943031311035156;-12.6136474609375;-7.359518051147461;-3.6461563110351562;-18.13198471069336;-5.61285400390625;-9.270561218261719;-7.879327774047852,0.0;-3.225691318511963;-2.9663033485412598;-8.400833129882812;-1.4285058975219727;-5.650545120239258;-8.706161499023438;-1.285353660583496;-2.701944351196289;-1.027334213256836
He is intelligent. She too is intelligent.,intelligent-stupid,n,pp,n,mf,-0.7812232971191406;-0.10047149658203125;-0.229644775390625;-0.005401611328125;-1.0384597778320312;-1.3116989135742188;-0.05199432373046875;-0.2122039794921875;-0.00995635986328125,-1.485280990600586;-0.0691680908203125;-0.23653507232666016;-0.047163963317871094;-1.567826271057129;-3.656261444091797;-0.022674560546875;-0.27046680450439453;-0.01694488525390625,0.0;-8.728752136230469;-19.312957763671875;-5.072074890136719;-3.442859649658203;-24.16407012939453;-5.408302307128906;-19.581802368164062;-4.276100158691406,0.0;-3.1556758880615234;-9.03493595123291;-2.859048843383789;-5.713206768035889;-8.054571151733398;-0.8071403503417969;-1.4396657943725586;-0.7857446670532227
He is stupid. She too is stupid.,intelligent-stupid,n,mm,n,mf,-2.110881805419922;-0.31573486328125;-0.10552215576171875;-0.00626373291015625;-2.1058731079101562;-1.5559959411621094;-0.04592132568359375;-0.0413818359375;-0.0146484375,-2.3881053924560547;-0.2682371139526367;-0.2056427001953125;-0.0513916015625;-1.5602607727050781;-2.9095115661621094;-0.05480194091796875;-0.1572418212890625;-0.034137725830078125,0.0;-7.8467254638671875;-18.00933074951172;-3.5486297607421875;-3.4311256408691406;-23.45526885986328;-5.30181884765625;-15.391071319580078;-4.388877868652344,0.0;-3.1556758880615234;-10.101962089538574;-1.8663625717163086;-4.942841529846191;-8.089110374450684;-0.9353160858154297;-0.49787235260009766;-0.6821393966674805
He is intelligent. She too is stupid.,intelligent-stupid,n,pm,n,mf,-5.005512237548828;-0.15727996826171875;-7.4244537353515625;-0.00899505615234375;-3.0362548828125;-3.8599929809570312;-0.109466552734375;-9.442092895507812;-0.022735595703125,-2.992527961730957;-0.054050445556640625;-7.837654113769531;-0.027973175048828125;-2.702730178833008;-3.0896177291870117;-0.038170814514160156;-6.757741451263428;-0.023977279663085938,0.0;-8.60113525390625;-20.72760772705078;-5.375293731689453;-5.901645660400391;-27.73278045654297;-7.623359680175781;-17.289756774902344;-6.768634796142578,0.0;-3.1556758880615234;-9.03493595123291;-2.859048843383789;-5.713206768035889;-8.054571151733398;-0.8071403503417969;-7.255075931549072;-0.8920888900756836
He is stupid. She too is intelligent.,intelligent-stupid,n,mp,n,mf,-2.7371864318847656;-0.27040863037109375;-10.387794494628906;-0.01654815673828125;-2.1174087524414062;-3.3291168212890625;-0.111724853515625;-8.612022399902344;-0.02022552490234375,-3.5499143600463867;-0.7154026031494141;-6.9775519371032715;-0.04297065734863281;-3.6819801330566406;-3.6303606033325195;-0.0348052978515625;-8.16980266571045;-0.0222320556640625,0.0;-6.425048828125;-14.215682983398438;-3.943328857421875;-5.639198303222656;-22.484222412109375;-7.871757507324219;-19.472396850585938;-4.234249114990234,0.0;-3.1556758880615234;-10.101962089538574;-1.8663625717163086;-4.942841529846191;-8.089110374450684;-0.9353160858154297;-6.556089401245117;-1.0007009506225586
He is not intelligent. She too is intelligent.,intelligent-stupid,n,pp,y,mf,-1.002227783203125;-0.10265350341796875;-6.426418304443359;-6.186328887939453;-0.0169525146484375;-1.2879409790039062;-4.145183563232422;-0.04541015625;-3.13800048828125;-0.0290679931640625,-1.1212635040283203;-0.06583976745605469;-4.694077491760254;-1.9889373779296875;-0.02697277069091797;-1.7449207305908203;-3.2125892639160156;-0.04928112030029297;-1.9996042251586914;-0.028497695922851562,0.0;-12.246185302734375;-7.083786964416504;-12.180389404296875;-6.337261199951172;-5.887947082519531;-19.825641632080078;-5.7936248779296875;-17.456541061401367;-4.632991790771484,0.0;-3.1556758880615234;-2.8939313888549805;-9.267271041870117;-2.0389699935913086;-5.802801132202148;-8.269146919250488;-0.9312114715576172;-3.340691566467285;-0.9914007186889648
He is not stupid. She too is stupid.,intelligent-stupid,n,mm,y,mf,-2.325061798095703;-0.40308380126953125;-1.7790260314941406;-0.3606376647949219;-0.0080718994140625;-2.985271453857422;-3.7568283081054688;-0.10540771484375;-1.352783203125;-0.02114105224609375,-2.265139579772949;-0.08588314056396484;-1.2173738479614258;-0.17916297912597656;-0.030012130737304688;-2.447427749633789;-2.6024293899536133;-0.06409072875976562;-2.4061403274536133;-0.03154754638671875,0.0;-13.247661590576172;-7.226607322692871;-14.538002967834473;-2.3864364624023438;-5.1232147216796875;-16.943492889404297;-6.702993392944336;-14.167743682861328;-4.790092468261719,0.0;-3.1556758880615234;-2.8939313888549805;-6.4123334884643555;-1.255202293395996;-5.7543840408325195;-8.266660690307617;-1.4109163284301758;-5.708125591278076;-0.8768386840820312
He is not intelligent. She too is stupid.,intelligent-stupid,n,pm,y,mf,-4.187591552734375;-0.14180755615234375;-1.4974594116210938;-6.8516082763671875;-0.0109710693359375;-5.170917510986328;-1.6305694580078125;-0.05202484130859375;-1.4919090270996094;-0.037811279296875,-4.131640434265137;-0.03533744812011719;-2.0772838592529297;-8.052085876464844;-0.020868301391601562;-5.016549110412598;-2.8984336853027344;-0.051116943359375;-3.4863853454589844;-0.026947021484375,0.0;-11.81640625;-14.028499603271484;-15.981023788452148;-4.282332420349121;-4.383275985717773;-22.35413360595703;-8.361793518066406;-13.588278770446777;-5.205724716186523,0.0;-3.1556758880615234;-2.8939313888549805;-9.267271041870117;-2.0389699935913086;-5.802801132202148;-8.269146919250488;-0.9312114715576172;-4.204150199890137;-0.8601627349853516
He is not stupid. She too is intelligent.,intelligent-stupid,n,mp,y,mf,-4.281703948974609;-0.33324432373046875;-0.0279693603515625;-1.9785919189453125;-0.0079803466796875;-4.4170989990234375;-1.6665573120117188;-0.04026031494140625;-3.033802032470703;-0.01985931396484375,-4.861629486083984;-0.11721229553222656;-0.10610008239746094;-2.5536155700683594;-0.019666671752929688;-7.057967185974121;-2.830831527709961;-0.02716827392578125;-4.380295753479004;-0.022001266479492188,0.0;-10.601356506347656;-13.5419921875;-16.286968231201172;-5.243082046508789;-4.930150985717773;-21.925418853759766;-8.638507843017578;-16.161470413208008;-3.765216827392578,0.0;-3.1556758880615234;-2.8939313888549805;-6.4123334884643555;-1.255202293395996;-5.7543840408325195;-8.266660690307617;-1.4109163284301758;-4.493116855621338;-1.0394983291625977
She is intelligent. He too is intelligent.,intelligent-stupid,n,pp,n,fm,-0.9815788269042969;-0.11550140380859375;-0.24108123779296875;-0.00370025634765625;-0.5021591186523438;-1.2525405883789062;-0.05507659912109375;-0.306304931640625;-0.01085662841796875,-1.9564294815063477;-0.08854007720947266;-0.30272769927978516;-0.042250633239746094;-1.2734127044677734;-2.27139949798584;-0.014636993408203125;-0.3509483337402344;-0.016109466552734375,0.0;-10.649635314941406;-17.731300354003906;-5.962455749511719;-3.890392303466797;-21.419593811035156;-6.291709899902344;-17.960384368896484;-4.72735595703125,0.0;-3.225691318511963;-8.609654426574707;-2.923715591430664;-5.734695911407471;-8.48460865020752;-0.7884969711303711;-1.5493888854980469;-0.7893924713134766
She is stupid. He too is stupid.,intelligent-stupid,n,mm,n,fm,-4.151786804199219;-0.28540802001953125;-0.0849609375;-0.00479888916015625;-0.7198562622070312;-1.5200996398925781;-0.06734466552734375;-0.04769134521484375;-0.01262664794921875,-2.412325859069824;-0.28242969512939453;-0.2603740692138672;-0.04195594787597656;-1.4024553298950195;-2.1168737411499023;-0.03645133972167969;-0.1659374237060547;-0.028957366943359375,0.0;-7.102470397949219;-13.699317932128906;-5.641262054443359;-9.233787536621094;-16.128101348876953;-3.3942604064941406;-13.215499877929688;-4.874576568603516,0.0;-3.225691318511963;-10.204888343811035;-1.7954912185668945;-5.249558448791504;-8.322090148925781;-0.821711540222168;-0.43051815032958984;-0.7045516967773438
She is intelligent. He too is stupid.,intelligent-stupid,n,pm,n,fm,-5.706241607666016;-0.16544342041015625;-7.768547058105469;-0.00485992431640625;-0.990631103515625;-3.624603271484375;-0.12945556640625;-7.942054748535156;-0.01929473876953125,-3.1901493072509766;-0.0498199462890625;-7.447827339172363;-0.028202056884765625;-2.0460376739501953;-1.3201122283935547;-0.02984905242919922;-6.169180870056152;-0.021299362182617188,0.0;-9.382728576660156;-22.997406005859375;-6.474906921386719;-4.270668029785156;-24.78235626220703;-7.4197540283203125;-17.607147216796875;-6.2004241943359375,0.0;-3.225691318511963;-8.609654426574707;-2.923715591430664;-5.734695911407471;-8.48460865020752;-0.7884969711303711;-6.877694606781006;-0.8863964080810547
She is stupid. He too is intelligent.,intelligent-stupid,n,mp,n,fm,-4.024444580078125;-0.2547607421875;-10.112907409667969;-0.014739990234375;-0.96484375;-3.4446563720703125;-0.10175323486328125;-8.506721496582031;-0.01976776123046875,-4.308177947998047;-0.7479753494262695;-6.936024188995361;-0.0479583740234375;-3.6726932525634766;-2.3610057830810547;-0.03086566925048828;-8.318214416503906;-0.02066802978515625,0.0;-10.601104736328125;-16.231895446777344;-4.4720458984375;-6.107822418212891;-18.601173400878906;-7.933929443359375;-18.524024963378906;-4.3296966552734375,0.0;-3.225691318511963;-10.204888343811035;-1.7954912185668945;-5.249558448791504;-8.322090148925781;-0.821711540222168;-6.792815685272217;-0.9923086166381836
She is not intelligent. He too is intelligent.,intelligent-stupid,n,pp,y,fm,-1.3892784118652344;-0.110687255859375;-6.633308410644531;-6.493682861328125;-0.01227569580078125;-0.5994491577148438;-4.444557189941406;-0.03830718994140625;-2.735736846923828;-0.029083251953125,-2.030806541442871;-0.07884979248046875;-4.3193464279174805;-2.1416234970092773;-0.029435157775878906;-1.2725677490234375;-2.2328357696533203;-0.0328826904296875;-2.0067596435546875;-0.0272064208984375,0.0;-11.78414535522461;-5.780300140380859;-12.453851699829102;-4.154632568359375;-3.128162384033203;-19.32748794555664;-6.253074645996094;-18.250823974609375;-3.682159423828125,0.0;-3.225691318511963;-2.9663033485412598;-9.138589859008789;-1.9287109375;-5.632655620574951;-8.666854858398438;-0.8649215698242188;-3.693446159362793;-0.973689079284668
She is not stupid. He too is stupid.,intelligent-stupid,n,mm,y,fm,-4.081417083740234;-0.31641387939453125;-1.3085098266601562;-0.3076972961425781;-0.00725555419921875;-1.09759521484375;-4.315326690673828;-0.1725921630859375;-1.1680984497070312;-0.02021026611328125,-2.8070859909057617;-0.05769824981689453;-1.1529998779296875;-0.2097492218017578;-0.025541305541992188;-1.8549680709838867;-1.8119220733642578;-0.03972434997558594;-1.908463478088379;-0.028596878051757812,0.0;-11.843944549560547;-3.853825569152832;-12.00853443145752;-3.4971847534179688;-3.3366470336914062;-16.534400939941406;-6.792308807373047;-12.763145446777344;-4.3933868408203125,0.0;-3.225691318511963;-2.9663033485412598;-6.5758514404296875;-1.2709293365478516;-5.526120185852051;-8.600356101989746;-1.3331880569458008;-5.116604328155518;-0.8437595367431641
She is not intelligent. He too is stupid.,intelligent-stupid,n,pm,y,fm,-5.516868591308594;-0.12299346923828125;-1.8480186462402344;-6.974388122558594;-0.00946807861328125;-3.44354248046875;-1.79522705078125;-0.0650634765625;-1.8685951232910156;-0.03884124755859375,-4.670791149139404;-0.03199005126953125;-1.8985090255737305;-7.56803560256958;-0.020357131958007812;-3.6441659927368164;-1.6244020462036133;-0.03507232666015625;-3.0760536193847656;-0.025966644287109375,0.0;-8.598014831542969;-12.651001930236816;-12.983114242553711;-7.573080062866211;-2.5421142578125;-21.207767486572266;-9.231979370117188;-11.2681884765625;-6.497211456298828,0.0;-3.225691318511963;-2.9663033485412598;-9.138589859008789;-1.9287109375;-5.632655620574951;-8.666854858398438;-0.8649215698242188;-4.160520553588867;-0.8495578765869141
She is not stupid. He too is intelligent.,intelligent-stupid,n,mp,y,fm,-5.4148406982421875;-0.29932403564453125;-0.036865234375;-1.8162879943847656;-0.0086517333984375;-3.4419708251953125;-1.6621971130371094;-0.04763031005859375;-3.572254180908203;-0.02339935302734375,-5.514941215515137;-0.05958080291748047;-0.09598636627197266;-2.4009389877319336;-0.01837921142578125;-6.510900497436523;-2.3484878540039062;-0.021945953369140625;-4.460580825805664;-0.019083023071289062,0.0;-9.985370635986328;-5.068599700927734;-13.611928939819336;-5.865818023681641;-4.512439727783203;-17.799346923828125;-6.842350006103516;-14.65863037109375;-4.167716979980469,0.0;-3.225691318511963;-2.9663033485412598;-6.5758514404296875;-1.2709293365478516;-5.526120185852051;-8.600356101989746;-1.3331880569458008;-4.442055702209473;-1.0372371673583984
He is clever. She too is clever.,clever-stupid,n,pp,n,mf,-1.42181396484375;-0.1625518798828125;-0.2930450439453125;-0.00603485107421875;-1.1078033447265625;-1.1435165405273438;-0.0362701416015625;-0.34172821044921875;-0.013824462890625,-2.334684371948242;-0.06591224670410156;-0.11258697509765625;-0.047344207763671875;-1.7463111877441406;-3.8094348907470703;-0.017873764038085938;-0.30002593994140625;-0.027959823608398438,0.0;-8.57681655883789;-20.389862060546875;-5.715858459472656;-3.8295669555664062;-21.003131866455078;-6.183891296386719;-19.018333435058594;-4.257839202880859,0.0;-3.1556758880615234;-9.41982650756836;-2.544769287109375;-5.559392929077148;-7.887223243713379;-0.8528823852539062;-1.228017807006836;-0.8088626861572266
He is stupid. She too is stupid.,clever-stupid,n,mm,n,mf,-2.110881805419922;-0.31573486328125;-0.10552215576171875;-0.00626373291015625;-2.1058731079101562;-1.5559959411621094;-0.04592132568359375;-0.0413818359375;-0.0146484375,-2.3881053924560547;-0.2682371139526367;-0.2056427001953125;-0.0513916015625;-1.5602607727050781;-2.9095115661621094;-0.05480194091796875;-0.1572418212890625;-0.034137725830078125,0.0;-7.8467254638671875;-18.00933074951172;-3.5486297607421875;-3.4311256408691406;-23.45526885986328;-5.30181884765625;-15.391071319580078;-4.388877868652344,0.0;-3.1556758880615234;-10.101962089538574;-1.8663625717163086;-4.942841529846191;-8.089110374450684;-0.9353160858154297;-0.49787235260009766;-0.6821393966674805
