sentence,adjectives,transparency,polarity,negation,gender,roberta_large_sentence_surprisal,bert_large_cased_sentence_surprisal,xlnet_large_cased_sentence_surprisal,gpt2_large_sentence_surprisal
"She is unsocial, and he is unsocial too.",social-unsocial,y,mm,n,fm,1.720619202,2.737513542,142.562149,41.15605545
"She is social, and he is unsocial too.",social-unsocial,y,pm,n,fm,30.75519562,22.87576675,119.0385132,42.59638977
"She is unsocial, and he is social too.",social-unsocial,y,mp,n,fm,23.45139313,26.91195154,119.379509,42.80496979
"She is not social, and he is social too.",social-unsocial,y,pp,y,fm,21.89351273,15.96490479,91.55519867,39.26167679
"She is not unsocial, and he is unsocial too.",social-unsocial,y,mm,y,fm,8.400402069,8.782637596,122.962677,47.01831055
"She is not social, and he is unsocial too.",social-unsocial,y,pm,y,fm,13.85997391,25.20822382,103.3711166,44.87355423
"She is not unsocial, and he is social too.",social-unsocial,y,mp,y,fm,20.22320938,35.14958,107.3211975,47.02287292
"He is intelligent, and she is intelligent too.",intelligent-unintelligent,y,pp,n,mf,3.772647858,2.761043549,95.98854065,30.50920105
"He is unintelligent, and she is unintelligent too.",intelligent-unintelligent,y,mm,n,mf,1.26568222,2.328451157,175.8376923,37.13079834
"He is intelligent, and she is unintelligent too.",intelligent-unintelligent,y,pm,n,mf,15.2259903,8.809766769,141.5751343,39.56088257
"He is unintelligent, and she is intelligent too.",intelligent-unintelligent,y,mp,n,mf,11.67235565,12.78412294,137.8963776,36.54874039
"He is not intelligent, and she is intelligent too.",intelligent-unintelligent,y,pp,y,mf,24.91238403,18.56419659,89.40830231,36.92882156
"He is not unintelligent, and she is unintelligent too.",intelligent-unintelligent,y,mm,y,mf,8.508171082,7.995808601,184.9932709,41.13150787
"He is not intelligent, and she is unintelligent too.",intelligent-unintelligent,y,pm,y,mf,5.016159058,15.52546215,136.8636475,41.07155991
"He is not unintelligent, and she is intelligent too.",intelligent-unintelligent,y,mp,y,mf,7.375289917,21.30643463,141.6919708,37.90138626
"She is intelligent, and he is intelligent too.",intelligent-unintelligent,y,pp,n,fm,4.230266571,3.069181442,94.29690552,30.95067024
"She is unintelligent, and he is unintelligent too.",intelligent-unintelligent,y,mm,n,fm,1.423748016,2.862568855,177.9141083,37.65603256
"She is intelligent, and he is unintelligent too.",intelligent-unintelligent,y,pm,n,fm,16.26879501,11.0170784,159.0955658,38.80850983
"She is unintelligent, and he is intelligent too.",intelligent-unintelligent,y,mp,n,fm,13.60795975,14.58935976,134.2368774,36.95734024
"She is not intelligent, and he is intelligent too.",intelligent-unintelligent,y,pp,y,fm,25.88170242,17.97150993,97.23524475,36.50972748
"She is not unintelligent, and he is unintelligent too.",intelligent-unintelligent,y,mm,y,fm,8.0078125,8.29617691,185.5586853,41.17798996
"She is not intelligent, and he is unintelligent too.",intelligent-unintelligent,y,pm,y,fm,5.388626099,15.51488352,140.081955,40.73381805
"She is not unintelligent, and he is intelligent too.",intelligent-unintelligent,y,mp,y,fm,8.829544067,22.45636511,140.1030426,38.29652405
"He is intelligent, and she is intelligent too.",intelligent-dumb,n,pp,n,mf,3.772647858,2.761043549,95.98854065,30.50920105
"He is dumb, and she is dumb too.",intelligent-dumb,n,mm,n,mf,1.868026733,3.559592247,90.25670624,31.90101624
"He is intelligent, and she is dumb too.",intelligent-dumb,n,pm,n,mf,37.97644043,26.70778751,90.85423279,37.60805893
"He is dumb, and she is intelligent too.",intelligent-dumb,n,mp,n,mf,32.33273315,27.87018681,94.25255585,35.9832077
"He is not intelligent, and she is intelligent too.",intelligent-dumb,n,pp,y,mf,24.91238403,18.56419659,89.40830231,36.92882156
"He is not dumb, and she is dumb too.",intelligent-dumb,n,mm,y,mf,14.77290344,9.65246582,86.30743408,37.69297791
"He is not intelligent, and she is dumb too.",intelligent-dumb,n,pm,y,mf,22.17061234,31.24417162,94.54042053,41.00934219
"He is not dumb, and she is intelligent too.",intelligent-dumb,n,mp,y,mf,18.99530029,25.57372904,101.9978867,37.42370605
"She is intelligent, and he is intelligent too.",intelligent-dumb,n,pp,n,fm,4.230266571,3.069181442,94.29690552,30.95067024
"She is dumb, and he is dumb too.",intelligent-dumb,n,mm,n,fm,2.287494659,3.63098526,89.7615509,31.62384796
"She is intelligent, and he is dumb too.",intelligent-dumb,n,pm,n,fm,37.8788414,26.52992535,94.65550995,37.08771515
"She is dumb, and he is intelligent too.",intelligent-dumb,n,mp,n,fm,35.16565323,29.50331402,106.654892,35.58210754
"She is not intelligent, and he is intelligent too.",intelligent-dumb,n,pp,y,fm,25.88170242,17.97150993,97.23524475,36.50972748
"She is not dumb, and he is dumb too.",intelligent-dumb,n,mm,y,fm,14.47206116,9.190364838,88.43449402,37.95918655
"She is not intelligent, and he is dumb too.",intelligent-dumb,n,pm,y,fm,22.09270477,29.69113207,93.72852325,40.76148987
"She is not dumb, and he is intelligent too.",intelligent-dumb,n,mp,y,fm,21.1429863,26.36155748,95.80819702,38.05594635
"He is clever, and she is clever too.",clever-dumb,n,pp,n,mf,4.185264587,3.049829483,96.16822052,29.88097191
"He is dumb, and she is dumb too.",clever-dumb,n,mm,n,mf,1.868026733,3.559592247,90.25670624,31.90101624
"He is clever, and she is dumb too.",clever-dumb,n,pm,n,mf,38.58673477,23.02162933,99.40854645,37.50235748
"He is dumb, and she is clever too.",clever-dumb,n,mp,n,mf,34.01137161,24.7439909,91.44620514,35.7151413
"He is not clever, and she is clever too.",clever-dumb,n,pp,y,mf,23.99806213,16.99484444,86.14646912,37.54108429
"He is not dumb, and she is dumb too.",clever-dumb,n,mm,y,mf,14.77290344,9.65246582,86.30743408,37.69297791
"He is not clever, and she is dumb too.",clever-dumb,n,pm,y,mf,25.86071777,28.74469137,89.86446381,42.61997986
"He is not dumb, and she is clever too.",clever-dumb,n,mp,y,mf,22.16331863,25.64118576,88.49082947,37.80420303
"She is clever, and he is clever too.",clever-dumb,n,pp,n,fm,4.670207977,3.517076492,87.24902344,29.73644638
"She is dumb, and he is dumb too.",clever-dumb,n,mm,n,fm,2.287494659,3.63098526,89.7615509,31.62384796
"She is clever, and he is dumb too.",clever-dumb,n,pm,n,fm,38.65227127,22.3158536,86.42671204,36.23142242
"She is dumb, and he is clever too.",clever-dumb,n,mp,n,fm,36.89598083,26.7828064,89.53895569,35.47980499
"She is not clever, and he is clever too.",clever-dumb,n,pp,y,fm,25.3566246,16.66659641,90.57138824,36.88950348
"She is not dumb, and he is dumb too.",clever-dumb,n,mm,y,fm,14.47206116,9.190364838,88.43449402,37.95918655
"She is not clever, and he is dumb too.",clever-dumb,n,pm,y,fm,26.58211136,27.23780537,90.52331543,41.99915695
"She is not dumb, and he is clever too.",clever-dumb,n,mp,y,fm,24.12056351,26.19963932,83.06076813,38.76832962
"He is smart, and she is smart too.",smart-dumb,n,pp,n,mf,2.81565094,3.0286026,87.8924408,27.80630684
"He is dumb, and she is dumb too.",smart-dumb,n,mm,n,mf,1.868026733,3.559592247,90.25670624,31.90101624
"He is smart, and she is dumb too.",smart-dumb,n,pm,n,mf,29.53767395,16.14919376,93.99827576,35.11331177
"He is dumb, and she is smart too.",smart-dumb,n,mp,n,mf,22.84622574,17.36868,96.73796082,32.61601639
"He is not smart, and she is smart too.",smart-dumb,n,pp,y,mf,21.90044403,14.90162468,82.11302948,35.54750824
"He is not dumb, and she is dumb too.",smart-dumb,n,mm,y,mf,14.77290344,9.65246582,86.30743408,37.69297791
"He is not smart, and she is dumb too.",smart-dumb,n,pm,y,mf,11.52646637,16.93278122,85.19112396,39.50588989
"He is not dumb, and she is smart too.",smart-dumb,n,mp,y,mf,15.76462173,19.88833952,95.49733734,34.60041046
"She is smart, and he is smart too.",smart-dumb,n,pp,n,fm,3.443222046,3.102906227,91.17179871,27.55258369
"She is dumb, and he is dumb too.",smart-dumb,n,mm,n,fm,2.287494659,3.63098526,89.7615509,31.62384796
"She is smart, and he is dumb too.",smart-dumb,n,pm,n,fm,29.95054626,15.60501194,90.64373779,33.72900391
"She is dumb, and he is smart too.",smart-dumb,n,mp,n,fm,26.30638885,17.68907642,99.65656281,32.45931625
"She is not smart, and he is smart too.",smart-dumb,n,pp,y,fm,22.87694168,14.95640659,86.78560638,35.05364227
"She is not dumb, and he is dumb too.",smart-dumb,n,mm,y,fm,14.47206116,9.190364838,88.43449402,37.95918655
"She is not smart, and he is dumb too.",smart-dumb,n,pm,y,fm,11.9128685,16.51166725,85.24763489,39.2661171
"She is not dumb, and he is smart too.",smart-dumb,n,mp,y,fm,17.43503571,20.46764994,89.31391907,35.3724823
"He is intelligent, and she is intelligent too.",intelligent-stupid,n,pp,n,mf,3.772647858,2.761043549,95.98854065,30.50920105
"He is stupid, and she is stupid too.",intelligent-stupid,n,mm,n,mf,1.493751526,2.600599289,92.17472839,29.95150757
"He is intelligent, and she is stupid too.",intelligent-stupid,n,pm,n,mf,35.60243988,20.90792418,90.91273499,35.72174072
"He is stupid, and she is intelligent too.",intelligent-stupid,n,mp,n,mf,31.01351547,24.85625935,101.1416626,35.95563126
"He is not intelligent, and she is intelligent too.",intelligent-stupid,n,pp,y,mf,24.91238403,18.56419659,89.40830231,36.92882156
"He is not stupid, and she is stupid too.",intelligent-stupid,n,mm,y,mf,13.18406296,9.587399483,84.51591492,34.02193832
"He is not intelligent, and she is stupid too.",intelligent-stupid,n,pm,y,mf,19.21146011,24.04603386,90.7191391,38.31208801
"He is not stupid, and she is intelligent too.",intelligent-stupid,n,mp,y,mf,16.65023041,22.68583393,95.82633972,34.78609848
"She is intelligent, and he is intelligent too.",intelligent-stupid,n,pp,n,fm,4.230266571,3.069181442,94.29690552,30.95067024
"She is stupid, and he is stupid too.",intelligent-stupid,n,mm,n,fm,1.78213501,2.628642082,88.7835083,30.55228615
"She is intelligent, and he is stupid too.",intelligent-stupid,n,pm,n,fm,35.51396179,20.48759556,89.43501282,35.26964188
"She is stupid, and he is intelligent too.",intelligent-stupid,n,mp,n,fm,33.00710297,25.47681236,102.6505966,36.13298798
"She is not intelligent, and he is intelligent too.",intelligent-stupid,n,pp,y,fm,25.88170242,17.97150993,97.23524475,36.50972748
"She is not stupid, and he is stupid too.",intelligent-stupid,n,mm,y,fm,12.56907272,9.070428848,83.97889709,33.82144547
"She is not intelligent, and he is stupid too.",intelligent-stupid,n,pm,y,fm,19.36172867,22.32625961,89.14513397,37.93456268
"She is not stupid, and he is intelligent too.",intelligent-stupid,n,mp,y,fm,18.68779755,23.12227821,92.99476624,35.5963707
"He is clever, and she is clever too.",clever-stupid,n,pp,n,mf,4.185264587,3.049829483,96.16822052,29.88097191
"He is stupid, and she is stupid too.",clever-stupid,n,mm,n,mf,1.493751526,2.600599289,92.17472839,29.95150757
"He is clever, and she is stupid too.",clever-stupid,n,pm,n,mf,33.22636414,17.68511105,104.7578506,35.63145447
"He is stupid, and she is clever too.",clever-stupid,n,mp,n,mf,29.65631104,22.68794632,96.30187988,35.34959412
"He is not clever, and she is clever too.",clever-stupid,n,pp,y,mf,23.99806213,16.99484444,86.14646912,37.54108429
"He is not stupid, and she is stupid too.",clever-stupid,n,mm,y,mf,13.18406296,9.587399483,84.51591492,34.02193832
"He is not clever, and she is stupid too.",clever-stupid,n,pm,y,mf,21.38119888,22.37983513,91.52675629,40.18488312
"He is not stupid, and she is clever too.",clever-stupid,n,mp,y,mf,19.58053589,22.57293129,86.08050537,34.82585526
"She is clever, and he is clever too.",clever-stupid,n,pp,n,fm,4.670207977,3.517076492,87.24902344,29.73644638
"She is stupid, and he is stupid too.",clever-stupid,n,mm,n,fm,1.78213501,2.628642082,88.7835083,30.55228615
"She is clever, and he is stupid too.",clever-stupid,n,pm,n,fm,33.57734299,16.96961832,95.32833862,34.52088928
"She is stupid, and he is clever too.",clever-stupid,n,mp,n,fm,32.0358696,23.57390356,99.30337524,35.75794983
"She is not clever, and he is clever too.",clever-stupid,n,pp,y,fm,25.3566246,16.66659641,90.57138824,36.88950348
"She is not stupid, and he is stupid too.",clever-stupid,n,mm,y,fm,12.56907272,9.070428848,83.97889709,33.82144547
"She is not clever, and he is stupid too.",clever-stupid,n,pm,y,fm,22.37931824,21.38262701,91.12272644,39.54072571
"She is not stupid, and he is clever too.",clever-stupid,n,mp,y,fm,21.46477509,22.63934708,84.54322815,35.96429062
"He is smart, and she is smart too.",smart-stupid,n,pp,n,mf,2.81565094,3.0286026,87.8924408,27.80630684
"He is stupid, and she is stupid too.",smart-stupid,n,mm,n,mf,1.493751526,2.600599289,92.17472839,29.95150757
"He is smart, and she is stupid too.",smart-stupid,n,pm,n,mf,29.03988647,14.84759617,98.68681335,34.14185333
"He is stupid, and she is smart too.",smart-stupid,n,mp,n,mf,24.78472519,17.41206551,94.60725403,33.13168716
"He is not smart, and she is smart too.",smart-stupid,n,pp,y,mf,21.90044403,14.90162468,82.11302948,35.54750824
"He is not stupid, and she is stupid too.",smart-stupid,n,mm,y,mf,13.18406296,9.587399483,84.51591492,34.02193832
"He is not smart, and she is stupid too.",smart-stupid,n,pm,y,mf,11.78043365,14.31390572,86.38180542,37.73317719
"He is not stupid, and she is smart too.",smart-stupid,n,mp,y,mf,14.6006012,17.97117472,86.68501282,32.23678207
"She is smart, and he is smart too.",smart-stupid,n,pp,n,fm,3.443222046,3.102906227,91.17179871,27.55258369
"She is stupid, and he is stupid too.",smart-stupid,n,mm,n,fm,1.78213501,2.628642082,88.7835083,30.55228615
"She is smart, and he is stupid too.",smart-stupid,n,pm,n,fm,29.60887909,14.41007519,94.15975952,32.82767487
"She is stupid, and he is smart too.",smart-stupid,n,mp,n,fm,27.02272415,17.30274868,99.86897278,33.51885986
"She is not smart, and he is smart too.",smart-stupid,n,pp,y,fm,22.87694168,14.95640659,86.78560638,35.05364227
"She is not stupid, and he is stupid too.",smart-stupid,n,mm,y,fm,12.56907272,9.070428848,83.97889709,33.82144547
"She is not smart, and he is stupid too.",smart-stupid,n,pm,y,fm,12.65378952,13.96906567,84.72776794,37.50484467
"She is not stupid, and he is smart too.",smart-stupid,n,mp,y,fm,16.46028137,18.28047276,87.96627808,33.25751495
"He is charitable, and she is charitable too.",charitable-uncharitable,y,pp,n,mf,6.802894592,6.199034691,118.878067,38.22872925
"He is uncharitable, and she is uncharitable too.",charitable-uncharitable,y,mm,n,mf,1.780738831,2.338189125,174.8680115,39.03713608
"He is charitable, and she is uncharitable too.",charitable-uncharitable,y,pm,n,mf,24.69484711,15.27285194,148.3413086,44.97650909
"He is uncharitable, and she is charitable too.",charitable-uncharitable,y,mp,n,mf,19.58904648,19.66657925,137.0804901,41.77073669
"He is not charitable, and she is charitable too.",charitable-uncharitable,y,pp,y,mf,25.26386261,22.85992527,98.6873703,42.80444717
"He is not uncharitable, and she is uncharitable too.",charitable-uncharitable,y,mm,y,mf,8.701953888,7.91914463,187.3742676,45.32359314
"He is not charitable, and she is uncharitable too.",charitable-uncharitable,y,pm,y,mf,15.87306595,20.46461248,143.6636658,43.65939713
"He is not uncharitable, and she is charitable too.",charitable-uncharitable,y,mp,y,mf,14.86188126,27.64032221,150.9818726,46.07242203
"She is charitable, and he is charitable too.",charitable-uncharitable,y,pp,n,fm,7.670032501,6.146458626,111.6475983,37.59467316
"She is uncharitable, and he is uncharitable too.",charitable-uncharitable,y,mm,n,fm,2.07900238,2.511881828,179.8246613,38.56054688
"She is charitable, and he is uncharitable too.",charitable-uncharitable,y,pm,n,fm,25.22861481,16.86976147,156.0983887,44.77797699
"She is uncharitable, and he is charitable too.",charitable-uncharitable,y,mp,n,fm,21.31196213,21.28833723,140.6474762,41.46295929
"She is not charitable, and he is charitable too.",charitable-uncharitable,y,pp,y,fm,26.74126816,22.82711029,103.4433441,42.26963425
"She is not uncharitable, and he is uncharitable too.",charitable-uncharitable,y,mm,y,fm,9.055549622,7.943170547,171.4814606,45.93395615
"She is not charitable, and he is uncharitable too.",charitable-uncharitable,y,pm,y,fm,16.92406464,20.9137969,144.9386749,44.68334198
"She is not uncharitable, and he is charitable too.",charitable-uncharitable,y,mp,y,fm,15.42485809,28.44071245,152.5088806,46.56312561
"He is careful, and she is careful too.",careful-careless,-,pp,n,mf,3.406471252,2.265327454,96.87304688,31.3621521
"He is careless, and she is careless too.",careful-careless,-,mm,n,mf,3.174461365,2.188393593,104.78862,35.25521851
"He is careful, and she is careless too.",careful-careless,-,pm,n,mf,34.36598206,12.89867783,95.73167419,38.42817688
"He is careless, and she is careful too.",careful-careless,-,mp,n,mf,29.78210449,12.44149303,103.7691727,39.64232254
"He is not careful, and she is careful too.",careful-careless,-,pp,y,mf,24.0784111,11.96776676,90.82814026,38.71475983
"He is not careless, and she is careless too.",careful-careless,-,mm,y,mf,23.3963089,7.71744442,96.28938293,42.66102982
"He is not careful, and she is careless too.",careful-careless,-,pm,y,mf,13.99539566,16.76620674,101.746994,41.15224457
"He is not careless, and she is careful too.",careful-careless,-,mp,y,mf,16.86206055,18.03353977,91.30786896,42.67041016
"She is careful, and he is careful too.",careful-careless,-,pp,n,fm,3.774147034,2.370463371,101.9742432,30.10956192
"She is careless, and he is careless too.",careful-careless,-,mm,n,fm,3.526199341,2.314551353,100.5528412,34.91213989
"She is careful, and he is careless too.",careful-careless,-,pm,n,fm,34.88041687,14.53948021,108.710144,36.66006851
"She is careless, and he is careful too.",careful-careless,-,mp,n,fm,32.82741165,13.67413902,104.4933548,39.34968185
"She is not careful, and he is careful too.",careful-careless,-,pp,y,fm,24.79514694,12.55299473,97.42237091,37.57095718
"She is not careless, and he is careless too.",careful-careless,-,mm,y,fm,22.97497559,7.812103271,93.23325348,42.44809341
"She is not careful, and he is careless too.",careful-careless,-,pm,y,fm,15.25497437,17.78317499,99.1761322,40.18658066
"She is not careless, and he is careful too.",careful-careless,-,mp,y,fm,17.97466278,18.87150526,92.56225586,43.01593399
"He is clean, and she is clean too.",clean-dirty,n,pp,n,mf,1.702087402,2.974759102,95.01011658,30.11553192
"He is dirty, and she is dirty too.",clean-dirty,n,mm,n,mf,1.588447571,2.186724663,84.68439484,31.16892624
"He is clean, and she is dirty too.",clean-dirty,n,pm,n,mf,28.4891243,12.34090757,93.81155396,34.77285767
"He is dirty, and she is clean too.",clean-dirty,n,mp,n,mf,27.50396347,13.43893147,100.7764893,35.21678925
"He is not clean, and she is clean too.",clean-dirty,n,pp,y,mf,19.10197067,12.49856472,86.3691864,36.79912186
"He is not dirty, and she is dirty too.",clean-dirty,n,mm,y,mf,17.6703186,9.705973625,86.26351166,37.98261261
"He is not clean, and she is dirty too.",clean-dirty,n,pm,y,mf,12.18554306,10.6680994,86.44807434,37.89871597
"He is not dirty, and she is clean too.",clean-dirty,n,mp,y,mf,13.69475174,10.60801506,86.9460144,38.06496048
"She is clean, and he is clean too.",clean-dirty,n,pp,n,fm,1.902557373,2.913043022,90.62049866,29.65370941
"She is dirty, and he is dirty too.",clean-dirty,n,mm,n,fm,1.863807678,2.345752716,92.79508209,30.47418785
"She is clean, and he is dirty too.",clean-dirty,n,pm,n,fm,27.599617,11.66162872,90.98548126,33.50074387
"She is dirty, and he is clean too.",clean-dirty,n,mp,n,fm,30.43081284,13.30481434,97.9992981,34.72142792
"She is not clean, and he is clean too.",clean-dirty,n,pp,y,fm,19.9636879,12.47163868,89.35398865,36.65330505
"She is not dirty, and he is dirty too.",clean-dirty,n,mm,y,fm,17.23477173,9.40021801,88.01209259,38.42688751
"She is not clean, and he is dirty too.",clean-dirty,n,pm,y,fm,13.91523743,10.64968586,87.40109253,36.79402161
"She is not dirty, and he is clean too.",clean-dirty,n,mp,y,fm,14.76091003,10.27727795,85.93379211,39.02288437
"He is wise, and she is wise too.",wise-unwise,y,pp,n,mf,3.372787476,4.901684761,87.28800964,32.08296204
"He is unwise, and she is unwise too.",wise-unwise,y,mm,n,mf,1.957351685,3.22634697,122.886795,36.6941452
"He is wise, and she is unwise too.",wise-unwise,y,pm,n,mf,18.5402832,6.172019005,95.42555237,38.32666779
"He is unwise, and she is wise too.",wise-unwise,y,mp,n,mf,18.31806564,12.12212753,107.5377655,38.51506805
"He is not wise, and she is wise too.",wise-unwise,y,pp,y,mf,23.97315216,17.49062252,82.0002594,42.3707962
"He is not unwise, and she is unwise too.",wise-unwise,y,mm,y,mf,8.738010406,7.668639183,122.3508301,43.41287994
"He is not wise, and she is unwise too.",wise-unwise,y,pm,y,mf,11.27261353,8.875710487,107.349411,45.07258987
"He is not unwise, and she is wise too.",wise-unwise,y,mp,y,mf,12.13327789,16.62970257,101.5950928,43.27610016
"She is wise, and he is wise too.",wise-unwise,y,pp,n,fm,3.741912842,4.718903542,92.80871582,30.85164261
"She is unwise, and he is unwise too.",wise-unwise,y,mm,n,fm,2.182426453,3.147982597,126.8090515,37.20367432
"She is wise, and he is unwise too.",wise-unwise,y,pm,n,fm,19.52897644,6.306286812,105.1646423,37.6924057
"She is unwise, and he is wise too.",wise-unwise,y,mp,n,fm,22.33283615,12.09803867,103.7482529,38.01464462
"She is not wise, and he is wise too.",wise-unwise,y,pp,y,fm,25.07581329,17.41961479,85.18704224,39.25928497
"She is not unwise, and he is unwise too.",wise-unwise,y,mm,y,fm,8.690486908,7.554377556,119.720993,44.14006424
"She is not wise, and he is unwise too.",wise-unwise,y,pm,y,fm,12.33278275,8.992565155,107.5432739,42.94787979
"She is not unwise, and he is wise too.",wise-unwise,y,mp,y,fm,13.13431931,16.96211433,101.5435181,42.57867813
"He is wise, and she is wise too.",wise-foolish,n,pp,n,mf,3.372787476,4.901684761,87.28800964,32.08296204
"He is foolish, and she is foolish too.",wise-foolish,n,mm,n,mf,2.677566528,2.812062263,92.26609802,34.05247116
"He is wise, and she is foolish too.",wise-foolish,n,pm,n,mf,32.51364517,19.31455994,100.6045074,35.53465271
"He is foolish, and she is wise too.",wise-foolish,n,mp,n,mf,31.38014603,24.38323355,97.50655365,37.9369545
"He is not wise, and she is wise too.",wise-foolish,n,pp,y,mf,23.97315216,17.49062252,82.0002594,42.3707962
"He is not foolish, and she is foolish too.",wise-foolish,n,mm,y,mf,18.90486908,11.54888153,92.0151825,39.90288162
"He is not wise, and she is foolish too.",wise-foolish,n,pm,y,mf,19.47679901,19.17464828,93.82517242,42.86456299
"He is not foolish, and she is wise too.",wise-foolish,n,mp,y,mf,20.01179886,23.85003662,91.97203827,41.59011078
"She is wise, and he is wise too.",wise-foolish,n,pp,n,fm,3.741912842,4.718903542,92.80871582,30.85164261
"She is foolish, and he is foolish too.",wise-foolish,n,mm,n,fm,3.029304504,3.026512146,96.58926392,32.9884491
"She is wise, and he is foolish too.",wise-foolish,n,pm,n,fm,33.52256012,19.32162237,96.71127319,34.74168015
"She is foolish, and he is wise too.",wise-foolish,n,mp,n,fm,33.97618866,24.96119595,97.5486145,35.6950264
"She is not wise, and he is wise too.",wise-foolish,n,pp,y,fm,25.07581329,17.41961479,85.18704224,39.25928497
"She is not foolish, and he is foolish too.",wise-foolish,n,mm,y,fm,18.28719711,11.11511135,93.06648254,40.00385666
"She is not wise, and he is foolish too.",wise-foolish,n,pm,y,fm,21.32045364,19.57269382,91.78986359,40.8049202
"She is not foolish, and he is wise too.",wise-foolish,n,mp,y,fm,21.09660721,24.77525043,88.3649292,40.62015533
"He is cheerful, and she is cheerful too.",cheerful-gloomy,n,pp,n,mf,2.424255371,4.14272213,108.4832535,32.45859909
"He is gloomy, and she is gloomy too.",cheerful-gloomy,n,mm,n,mf,2.342662811,2.128742218,98.94723511,33.70465469
"He is cheerful, and she is gloomy too.",cheerful-gloomy,n,pm,n,mf,36.69236374,6.920120239,94.79568481,40.04157639
"He is gloomy, and she is cheerful too.",cheerful-gloomy,n,mp,n,mf,37.15454102,11.03642082,101.8538589,36.64167786
"He is not cheerful, and she is cheerful too.",cheerful-gloomy,n,pp,y,mf,20.65177917,18.81663656,100.8969116,39.23760223
"He is not gloomy, and she is gloomy too.",cheerful-gloomy,n,mm,y,mf,24.93593979,9.223080635,94.20323181,42.68091583
"He is not cheerful, and she is gloomy too.",cheerful-gloomy,n,pm,y,mf,23.17033386,14.50888443,96.56929016,41.87874603
"He is not gloomy, and she is cheerful too.",cheerful-gloomy,n,mp,y,mf,21.44458008,19.70866108,92.60896301,41.246315
"She is cheerful, and he is cheerful too.",cheerful-gloomy,n,pp,n,fm,2.798088074,3.967508316,100.9046707,33.24429321
"She is gloomy, and he is gloomy too.",cheerful-gloomy,n,mm,n,fm,2.589344025,2.201444626,91.89642334,33.62486267
"She is cheerful, and he is gloomy too.",cheerful-gloomy,n,pm,n,fm,38.50600052,8.165207863,95.92310333,39.58774567
"She is gloomy, and he is cheerful too.",cheerful-gloomy,n,mp,n,fm,39.60934448,10.89325047,100.9453354,36.70519638
"She is not cheerful, and he is cheerful too.",cheerful-gloomy,n,pp,y,fm,21.71849823,17.62406635,98.89115143,39.3292923
"She is not gloomy, and he is gloomy too.",cheerful-gloomy,n,mm,y,fm,26.41793442,8.995292664,97.84422302,43.13787079
"She is not cheerful, and he is gloomy too.",cheerful-gloomy,n,pm,y,fm,24.70691681,15.94485664,98.86954498,41.7322464
"She is not gloomy, and he is cheerful too.",cheerful-gloomy,n,mp,y,fm,23.61006927,20.59777737,93.24201202,42.20996857
"He is dextrous, and she is dextrous too.",dextrous-clumsy,n,pp,n,mf,1.492889404,2.410644531,158.8439941,40.14774323
"He is clumsy, and she is clumsy too.",dextrous-clumsy,n,mm,n,mf,1.952110291,2.5532341,108.779129,31.75173569
"He is dextrous, and she is clumsy too.",dextrous-clumsy,n,pm,n,mf,27.42393494,15.58966017,135.2651825,42.95243835
"He is clumsy, and she is dextrous too.",dextrous-clumsy,n,mp,n,mf,25.76377487,13.0316143,136.9320374,44.06796646
"He is not dextrous, and she is dextrous too.",dextrous-clumsy,n,pp,y,mf,10.33311844,10.15074062,185.7254028,44.32378387
"He is not clumsy, and she is clumsy too.",dextrous-clumsy,n,mm,y,mf,16.85932922,11.87193108,97.30269623,40.72929764
"He is not dextrous, and she is clumsy too.",dextrous-clumsy,n,pm,y,mf,22.62673569,25.79154587,144.3487091,46.03699112
"He is not clumsy, and she is dextrous too.",dextrous-clumsy,n,mp,y,mf,22.90897751,24.48041725,137.8453369,47.99898148
"She is dextrous, and he is dextrous too.",dextrous-clumsy,n,pp,n,fm,1.383216858,2.663628578,163.7397461,39.95856476
"She is clumsy, and he is clumsy too.",dextrous-clumsy,n,mm,n,fm,2.136131287,2.443299294,108.3466339,31.35502434
"She is dextrous, and he is clumsy too.",dextrous-clumsy,n,pm,n,fm,28.32967758,17.4271841,134.5940247,41.66689301
"She is clumsy, and he is dextrous too.",dextrous-clumsy,n,mp,n,fm,27.56343079,14.33443689,139.1432343,44.49701309
"She is not dextrous, and he is dextrous too.",dextrous-clumsy,n,pp,y,fm,11.2766571,10.60924625,177.7150879,44.46380615
"She is not clumsy, and he is clumsy too.",dextrous-clumsy,n,mm,y,fm,17.41343689,11.14547157,99.73078918,40.77547455
"She is not dextrous, and he is clumsy too.",dextrous-clumsy,n,pm,y,fm,23.47940445,25.93694496,142.8358307,45.79735947
"She is not clumsy, and he is dextrous too.",dextrous-clumsy,n,mp,y,fm,22.82764816,25.50705576,134.5501099,48.94969559
"He is graceful, and she is graceful too.",graceful-graceless,-,pp,n,mf,3.497695923,3.164278984,92.95322418,34.2938385
"He is graceless, and she is graceless too.",graceful-graceless,-,mm,n,mf,1.346305847,2.515135765,128.4596252,39.87960815
"He is graceful, and she is graceless too.",graceful-graceless,-,pm,n,mf,24.35962677,18.44545555,110.717308,44.98413849
"He is graceless, and she is graceful too.",graceful-graceless,-,mp,n,mf,26.30817032,16.32038498,110.8620758,43.89674377
"He is not graceful, and she is graceful too.",graceful-graceless,-,pp,y,mf,19.35670471,15.77801132,98.14607239,40.70139313
"He is not graceless, and she is graceless too.",graceful-graceless,-,mm,y,mf,8.85704422,6.761616707,123.0281525,44.41790771
