sentence,adjectives,transparency,polarity,negation,gender,gpt2_large_surprisal,xlnet_large_cased_surprisal,bert_large_cased_surprisal,roberta_large_surprisal
He is not mean means that he is mean.,nice-mean,n,mm,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-9.89676570892334;-11.910421371459961;-2.045663833618164;-1.0048627853393555;-0.9978933334350586;-3.7052087783813477;-1.5535554885864258,0.0;-4.281776428222656;-4.0325927734375;-10.704814910888672;-8.623077392578125;-4.209590911865234;-6.721767425537109;-4.283790588378906;-13.095909118652344;-6.80606746673584,-0.8486404418945312;-0.1161031723022461;-2.461855888366699;-1.9087018966674805;-8.511800765991211;-0.47734928131103516;-0.08667182922363281;-0.025873184204101562;-3.834442138671875;-0.09188079833984375,-0.6610794067382812;-0.20273590087890625;-0.94970703125;-4.470008850097656;-9.10593032836914;-1.96893310546875;-0.07083892822265625;-0.05507659912109375;-2.3844871520996094;-0.1102294921875
He is not nice means that he is mean.,nice-mean,n,pm,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-9.426313400268555;-11.219318389892578;-1.5351448059082031;-0.6531982421875;-0.8144083023071289;-4.964105606079102;-1.1295280456542969,0.0;-1.2987251281738281;-6.014141082763672;-5.044376373291016;-9.565059661865234;-4.444850921630859;-6.355804443359375;-4.5042724609375;-11.265945434570312;-7.307100296020508,-0.8694486618041992;-0.060428619384765625;-1.530050277709961;-4.255254745483398;-7.853456497192383;-0.46195220947265625;-0.03928184509277344;-0.05697345733642578;-3.537989616394043;-0.030628204345703125,-0.8428115844726562;-0.6090469360351562;-1.0133743286132812;-5.0501556396484375;-8.324836730957031;-0.7160186767578125;-0.02503204345703125;-0.04433441162109375;-2.322589874267578;-0.12552642822265625
He is not mean means that he is nice.,nice-mean,n,mp,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-9.89676570892334;-11.910421371459961;-2.045663833618164;-1.0048627853393555;-0.9978933334350586;-5.573741912841797;-1.6806964874267578,0.0;-5.621967315673828;-5.507816314697266;-8.568187713623047;-7.038394927978516;-4.751140594482422;-6.2957763671875;-6.101402282714844;-7.806049346923828;-6.437405586242676,-0.4015035629272461;-0.769963264465332;-1.689849853515625;-5.765613555908203;-8.306014060974121;-0.23820877075195312;-0.04321575164794922;-0.03648853302001953;-2.990828514099121;-0.03610992431640625,-0.31998443603515625;-3.7639083862304688;-0.39260101318359375;-4.551479339599609;-7.991565704345703;-0.8137359619140625;-0.024658203125;-0.0841522216796875;-3.8846282958984375;-0.08625030517578125
She is nice means that she is nice.,nice-mean,n,pp,n,fm,0.0;-3.225691318511963;-8.669544219970703;-12.39338493347168;-1.7812376022338867;-0.8782320022583008;-1.3036956787109375;-3.923095226287842;-2.250934600830078,0.0;-6.391088485717773;-9.717342376708984;-10.71175765991211;-4.694007873535156;-5.6157989501953125;-5.697967529296875;-10.156896591186523;-4.893947601318359,-0.7989711761474609;-1.7910118103027344;-1.1658048629760742;-6.964178085327148;-0.39598846435546875;-0.23913955688476562;-0.06363487243652344;-1.4023494720458984;-0.08950996398925781,-0.3388824462890625;-0.6397781372070312;-2.1677322387695312;-7.456752777099609;-0.073089599609375;-0.4087982177734375;-0.0958099365234375;-2.1974754333496094;-0.1594085693359375
She is mean means that she is mean.,nice-mean,n,mm,n,fm,0.0;-3.225691318511963;-10.18853759765625;-11.871641159057617;-1.900378704071045;-0.838566780090332;-1.450714111328125;-2.983401298522949;-1.5970373153686523,0.0;-3.6315250396728516;-10.235603332519531;-7.688817977905273;-3.3628787994384766;-3.856472969055176;-3.5366058349609375;-9.488998413085938;-4.308398246765137,-0.9682493209838867;-0.8132972717285156;-0.8372259140014648;-6.743109703063965;-1.0593147277832031;-0.4073333740234375;-0.0207061767578125;-1.6107568740844727;-0.06925773620605469,-0.2227935791015625;-0.422821044921875;-2.6552162170410156;-9.139591217041016;-0.1217041015625;-0.256378173828125;-0.074371337890625;-3.4939346313476562;-0.0873870849609375
She is nice means that she is mean.,nice-mean,n,pm,n,fm,0.0;-3.225691318511963;-8.669544219970703;-12.39338493347168;-1.7812376022338867;-0.8782320022583008;-1.3036956787109375;-6.925100326538086;-1.2560977935791016,0.0;-3.015348434448242;-8.74498176574707;-8.716392517089844;-3.775115966796875;-5.006450653076172;-3.350574493408203;-11.573806762695312;-4.911676406860352,-0.8386783599853516;-1.8219432830810547;-4.503701686859131;-10.949562072753906;-0.9358634948730469;-0.09818840026855469;-0.026357650756835938;-6.2518720626831055;-0.051105499267578125,-0.2770843505859375;-1.610931396484375;-5.501239776611328;-9.344532012939453;-0.04174041748046875;-0.10359954833984375;-0.0586090087890625;-4.78662109375;-0.09127044677734375
She is mean means that she is nice.,nice-mean,n,mp,n,fm,0.0;-3.225691318511963;-10.18853759765625;-11.871641159057617;-1.900378704071045;-0.838566780090332;-1.450714111328125;-6.28377628326416;-1.61376953125,0.0;-3.101459503173828;-5.957332611083984;-5.3095703125;-4.495521545410156;-6.6374664306640625;-2.7008819580078125;-7.196949005126953;-4.430856704711914,-0.9016342163085938;-0.7153167724609375;-5.629655361175537;-10.331155776977539;-0.22677230834960938;-0.17973613739013672;-0.07264232635498047;-5.877850532531738;-0.02800750732421875,-0.24510955810546875;-0.9711265563964844;-5.530582427978516;-9.649520874023438;-0.037384033203125;-0.08683013916015625;-0.10739898681640625;-6.256614685058594;-0.08240509033203125
She is not nice means that she is nice.,nice-mean,n,pp,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-9.064802169799805;-11.200387954711914;-1.4708337783813477;-0.626495361328125;-0.8842554092407227;-5.465585231781006;-1.9324865341186523,0.0;-2.895751953125;-4.819221496582031;-7.901283264160156;-9.908851623535156;-3.7622947692871094;-6.580463409423828;-2.9629898071289062;-5.976581573486328;-5.574766159057617,-1.5683507919311523;-0.46819400787353516;-2.5164918899536133;-2.108673095703125;-8.731107711791992;-0.531702995300293;-0.35069942474365234;-0.1414499282836914;-3.8958234786987305;-0.10433197021484375,-0.6889572143554688;-1.0123825073242188;-1.442962646484375;-2.5629234313964844;-8.255256652832031;-0.034088134765625;-0.149627685546875;-0.07411956787109375;-3.9024276733398438;-0.21088409423828125
She is not mean means that she is mean.,nice-mean,n,mm,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-9.548513412475586;-12.217686653137207;-1.7480335235595703;-0.9664974212646484;-1.0327301025390625;-3.5537991523742676;-1.3793411254882812,0.0;-3.285003662109375;-4.356952667236328;-10.446147918701172;-9.265804290771484;-3.8785667419433594;-7.5157318115234375;-3.0447921752929688;-11.699268341064453;-6.40772819519043,-0.6055240631103516;-0.12723827362060547;-2.0997180938720703;-1.9641504287719727;-8.490373611450195;-0.5648488998413086;-0.09531307220458984;-0.031304359436035156;-5.010415077209473;-0.08905601501464844,-0.29772186279296875;-0.1953125;-0.9864273071289062;-3.6958274841308594;-9.05807876586914;-1.0293655395507812;-0.0626678466796875;-0.04741668701171875;-2.0043678283691406;-0.101348876953125
She is not nice means that she is mean.,nice-mean,n,pm,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-9.064802169799805;-11.200387954711914;-1.4708337783813477;-0.626495361328125;-0.8842554092407227;-4.464632034301758;-1.0870323181152344,0.0;-1.5649452209472656;-5.6290283203125;-5.746894836425781;-9.904438018798828;-4.2554168701171875;-6.994529724121094;-3.1313705444335938;-11.132858276367188;-7.0117034912109375,-0.7028312683105469;-0.07315635681152344;-1.5565338134765625;-3.9449691772460938;-7.919374465942383;-0.6048307418823242;-0.042316436767578125;-0.06802177429199219;-3.537586212158203;-0.037281036376953125,-0.284698486328125;-0.711669921875;-0.764404296875;-3.46588134765625;-8.12009048461914;-0.3288726806640625;-0.02437591552734375;-0.03507232666015625;-2.148773193359375;-0.12542724609375
She is not mean means that she is nice.,nice-mean,n,mp,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-9.548513412475586;-12.217686653137207;-1.7480335235595703;-0.9664974212646484;-1.0327301025390625;-5.0698442459106445;-1.4964075088500977,0.0;-2.7715530395507812;-4.883167266845703;-7.583530426025391;-7.267387390136719;-3.8437156677246094;-5.435722351074219;-3.346088409423828;-7.969295501708984;-6.588308334350586,-0.3550739288330078;-0.6903133392333984;-1.462381362915039;-5.1989312171936035;-8.601758003234863;-0.27852630615234375;-0.031716346740722656;-0.035614013671875;-2.5909690856933594;-0.039524078369140625,-0.1209869384765625;-2.613800048828125;-0.37992095947265625;-3.9147682189941406;-7.821281433105469;-0.5474929809570312;-0.0205230712890625;-0.0768585205078125;-3.83880615234375;-0.08229827880859375
He is kind means that he is kind.,kind-unkind,y,pp,n,mf,0.0;-3.1556758880615234;-7.3739824295043945;-13.95821475982666;-3.7265758514404297;-0.8971357345581055;-1.6693525314331055;-3.245011806488037;-2.2972707748413086,0.0;-5.7892608642578125;-8.937545776367188;-10.25295639038086;-5.378547668457031;-3.8619651794433594;-5.898590087890625;-10.77215576171875;-5.854564666748047,-0.8105258941650391;-2.837925910949707;-1.4042091369628906;-7.374186038970947;-0.3978595733642578;-0.13720035552978516;-0.039386749267578125;-1.3566217422485352;-0.12664794921875,-0.4927215576171875;-1.3964424133300781;-3.739410400390625;-9.507431030273438;-0.11115264892578125;-0.2611083984375;-0.0794525146484375;-2.9615135192871094;-0.16072845458984375
He is unkind means that he is unkind.,kind-unkind,y,mm,n,mf,0.0;-3.1556758880615234;-13.79823112487793;-12.381627082824707;-2.23809814453125;-1.3558645248413086;-1.7079849243164062;-2.9113149642944336;-2.7488842010498047,0.0;-7.747236251831055;-32.59505653381348;-9.656669616699219;-2.7436609268188477;-7.351556777954102;-6.350830078125;-30.864316940307617;-3.981273651123047,-0.9469451904296875;-0.7693557739257812;-0.4636812210083008;-5.353611946105957;-0.14240360260009766;-0.41353607177734375;-0.06920814514160156;-0.7932920455932617;-0.17723464965820312,-0.8546371459960938;-0.7505226135253906;-1.34942626953125;-8.245479583740234;-0.05077362060546875;-0.5350112915039062;-0.14295196533203125;-0.8671340942382812;-0.2091064453125
He is kind means that he is unkind.,kind-unkind,y,pm,n,mf,0.0;-3.1556758880615234;-7.3739824295043945;-13.95821475982666;-3.7265758514404297;-0.8971357345581055;-1.6693525314331055;-10.265498161315918;-1.9402790069580078,0.0;-5.842977523803711;-7.957063674926758;-8.020530700683594;-4.557369232177734;-6.741832733154297;-6.5589599609375;-26.501981735229492;-4.802591323852539,-0.9429025650024414;-3.8412818908691406;-2.3473424911499023;-10.284666061401367;-0.13908863067626953;-0.09155559539794922;-0.032021522521972656;-0.25792980194091797;-0.0986480712890625,-0.7503128051757812;-0.7446784973144531;-4.520500183105469;-11.020843505859375;-0.05971527099609375;-0.8063812255859375;-0.0510406494140625;-0.32990264892578125;-0.178680419921875
He is unkind means that he is kind.,kind-unkind,y,mp,n,mf,0.0;-3.1556758880615234;-13.79823112487793;-12.381627082824707;-2.23809814453125;-1.3558645248413086;-1.7079849243164062;-4.844127178192139;-2.763381004333496,0.0;-6.56169319152832;-22.228013038635254;-10.376899719238281;-4.4533843994140625;-6.691801071166992;-6.1455535888671875;-7.798667907714844;-4.876777648925781,-0.9513120651245117;-1.473811149597168;-0.554814338684082;-10.735527992248535;-0.20043659210205078;-0.017966270446777344;-0.021196365356445312;-3.146059036254883;-0.1487751007080078,-0.9225387573242188;-1.5133132934570312;-1.5759849548339844;-9.451583862304688;-0.03531646728515625;-0.6055374145507812;-0.08097076416015625;-4.655036926269531;-0.19171905517578125
He is not kind means that he is kind.,kind-unkind,y,pp,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-9.71943473815918;-12.341341018676758;-2.0345873832702637;-0.7457542419433594;-1.0165605545043945;-4.3371686935424805;-2.2263126373291016,0.0;-5.894077301025391;-3.0863418579101562;-9.484918594360352;-8.811826705932617;-5.1678009033203125;-7.033506393432617;-4.654445648193359;-8.039249420166016;-3.8840770721435547,-1.9937400817871094;-0.1429767608642578;-2.581165313720703;-1.9067344665527344;-9.180423736572266;-0.33682823181152344;-0.22589683532714844;-0.0801992416381836;-2.982563018798828;-0.13791275024414062,-1.0455741882324219;-0.3331298828125;-1.3076400756835938;-4.531063079833984;-8.85403060913086;-0.06378936767578125;-0.1468353271484375;-0.04187774658203125;-5.784969329833984;-0.1617431640625
He is not unkind means that he is unkind.,kind-unkind,y,mm,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-10.995718955993652;-11.93319034576416;-2.4215927124023438;-1.399942398071289;-1.9168434143066406;-4.497420787811279;-1.8924875259399414,0.0;-3.428985595703125;-6.090995788574219;-22.445941925048828;-12.02154541015625;-5.308559417724609;-5.67279052734375;-3.2670745849609375;-26.35578155517578;-4.986606597900391,-0.9471454620361328;-0.08088302612304688;-1.1565351486206055;-0.14690113067626953;-7.108712196350098;-0.16058921813964844;-0.21485328674316406;-0.059558868408203125;-0.5816783905029297;-0.1631603240966797,-1.7429428100585938;-0.6347389221191406;-1.4723625183105469;-0.6797447204589844;-8.418296813964844;-0.05672454833984375;-0.11985015869140625;-0.07299041748046875;-0.11797714233398438;-0.13996124267578125
He is not kind means that he is unkind.,kind-unkind,y,pm,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-9.71943473815918;-12.341341018676758;-2.0345873832702637;-0.7457542419433594;-1.0165605545043945;-5.237065315246582;-1.4452762603759766,0.0;-5.244407653808594;-2.2997474670410156;-10.012678146362305;-8.823726654052734;-4.407550811767578;-7.742986679077148;-5.029136657714844;-21.701457977294922;-3.384305953979492,-0.7831640243530273;-0.08683395385742188;-1.3170194625854492;-1.879349708557129;-6.906602382659912;-0.0988149642944336;-0.04485034942626953;-0.03578472137451172;-0.08922386169433594;-0.10190200805664062,-1.6352157592773438;-0.20044708251953125;-0.14894866943359375;-4.291534423828125;-7.561065673828125;-0.0527801513671875;-0.060638427734375;-0.03223419189453125;-0.03102874755859375;-0.10436248779296875
He is not unkind means that he is kind.,kind-unkind,y,mp,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-10.995718955993652;-11.93319034576416;-2.4215927124023438;-1.399942398071289;-1.9168434143066406;-5.582601547241211;-1.8884525299072266,0.0;-2.0929718017578125;-4.257678985595703;-12.557479858398438;-12.753433227539062;-4.979377746582031;-7.961669921875;-2.2428359985351562;-6.618766784667969;-5.920869827270508,-0.4116220474243164;-0.05111408233642578;-0.8025693893432617;-0.2349386215209961;-9.584060668945312;-0.22052764892578125;-0.019257545471191406;-0.015411376953125;-0.965001106262207;-0.1053924560546875,-0.9436569213867188;-0.5972404479980469;-0.76971435546875;-0.049739837646484375;-8.962890625;-0.16967010498046875;-0.0467987060546875;-0.03243255615234375;-2.872303009033203;-0.140472412109375
She is kind means that she is kind.,kind-unkind,y,pp,n,fm,0.0;-3.225691318511963;-7.077083110809326;-13.463712692260742;-3.239285469055176;-0.9400110244750977;-1.7627143859863281;-3.095017910003662;-2.3312511444091797,0.0;-5.858325958251953;-10.354862213134766;-9.17319107055664;-5.201587677001953;-3.2872085571289062;-4.526081085205078;-10.06338119506836;-4.963569641113281,-0.7182493209838867;-2.52508544921875;-1.8334474563598633;-7.4521918296813965;-0.4150962829589844;-0.16602039337158203;-0.041769981384277344;-1.819845199584961;-0.11854171752929688,-0.22552490234375;-1.1217536926269531;-3.6192970275878906;-9.510631561279297;-0.12123870849609375;-0.1915130615234375;-0.076690673828125;-2.9957504272460938;-0.1504669189453125
She is unkind means that she is unkind.,kind-unkind,y,mm,n,fm,0.0;-3.225691318511963;-14.161248207092285;-12.208842277526855;-1.9274568557739258;-1.344008445739746;-1.6994361877441406;-3.221247673034668;-2.5572509765625,0.0;-7.823284149169922;-34.39202117919922;-9.268943786621094;-3.1986751556396484;-9.119342803955078;-5.88983154296875;-30.643375396728516;-3.4513778686523438,-1.1998100280761719;-1.3326892852783203;-0.6207113265991211;-5.527292251586914;-0.16674327850341797;-0.6602249145507812;-0.0772705078125;-0.9259462356567383;-0.17101669311523438,-0.329986572265625;-0.408355712890625;-1.0183525085449219;-8.088409423828125;-0.05591583251953125;-0.3276214599609375;-0.1275177001953125;-0.7158470153808594;-0.196746826171875
She is kind means that she is unkind.,kind-unkind,y,pm,n,fm,0.0;-3.225691318511963;-7.077083110809326;-13.463712692260742;-3.239285469055176;-0.9400110244750977;-1.7627143859863281;-10.32673454284668;-1.805929183959961,0.0;-6.220539093017578;-8.924644470214844;-7.733642578125;-5.0651397705078125;-8.222925186157227;-5.0515289306640625;-24.314910888671875;-4.502685546875,-0.956913948059082;-4.121645927429199;-3.1732215881347656;-10.594685554504395;-0.13245105743408203;-0.08121299743652344;-0.035943031311035156;-0.2775688171386719;-0.08977127075195312,-0.304962158203125;-0.485565185546875;-4.689815521240234;-10.819412231445312;-0.08402252197265625;-0.7148590087890625;-0.04448699951171875;-0.43775177001953125;-0.17693328857421875
She is unkind means that she is kind.,kind-unkind,y,mp,n,fm,0.0;-3.225691318511963;-14.161248207092285;-12.208842277526855;-1.9274568557739258;-1.344008445739746;-1.6994361877441406;-4.680961608886719;-2.930239677429199,0.0;-6.919742584228516;-23.82553768157959;-9.575252532958984;-3.97808837890625;-7.928377151489258;-4.165851593017578;-7.648920059204102;-4.4920196533203125,-1.0158233642578125;-2.1668052673339844;-0.7573204040527344;-10.974520683288574;-0.19451141357421875;-0.028733253479003906;-0.024660110473632812;-3.54421329498291;-0.13149261474609375,-0.36902618408203125;-1.3937835693359375;-2.026721954345703;-9.42999267578125;-0.03667449951171875;-0.5043487548828125;-0.07079315185546875;-5.155422210693359;-0.184539794921875
She is not kind means that she is kind.,kind-unkind,y,pp,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-9.630388259887695;-12.491090774536133;-1.9443473815917969;-0.7542428970336914;-1.0759201049804688;-3.833951473236084;-2.115017890930176,0.0;-5.697019577026367;-3.9053945541381836;-9.369028091430664;-9.115812301635742;-5.2241363525390625;-7.240638732910156;-3.8918800354003906;-6.800413131713867;-3.745248794555664,-1.4484243392944336;-0.1506805419921875;-2.4503679275512695;-2.3438758850097656;-9.207826614379883;-0.34163570404052734;-0.2961711883544922;-0.09901237487792969;-3.597670555114746;-0.1286334991455078,-0.5221176147460938;-0.5338668823242188;-1.4686431884765625;-4.4425506591796875;-8.451263427734375;-0.04970550537109375;-0.217742919921875;-0.04485321044921875;-5.926151275634766;-0.14923858642578125
She is not unkind means that she is unkind.,kind-unkind,y,mm,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-10.824581146240234;-12.121853828430176;-2.182995319366455;-1.38018798828125;-1.6171131134033203;-4.238454818725586;-1.719095230102539,0.0;-2.6019935607910156;-5.208377838134766;-20.56249237060547;-11.077995300292969;-5.184974670410156;-6.1580047607421875;-2.7726173400878906;-23.404884338378906;-4.840801239013672,-1.045119285583496;-0.107635498046875;-1.5613861083984375;-0.22530651092529297;-7.347652435302734;-0.21668243408203125;-0.2755603790283203;-0.07248592376708984;-0.6465940475463867;-0.1568450927734375,-0.4117889404296875;-0.674835205078125;-1.4729042053222656;-0.328033447265625;-8.257904052734375;-0.0411529541015625;-0.13901519775390625;-0.0768890380859375;-0.055698394775390625;-0.141204833984375
She is not kind means that she is unkind.,kind-unkind,y,pm,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-9.630388259887695;-12.491090774536133;-1.9443473815917969;-0.7542428970336914;-1.0759201049804688;-5.456592559814453;-1.3647632598876953,0.0;-4.703601837158203;-3.2991104125976562;-7.0529279708862305;-8.800592422485352;-4.503757476806641;-7.085792541503906;-5.545413970947266;-20.47121810913086;-5.21345329284668,-0.7755746841430664;-0.08809852600097656;-1.5227527618408203;-1.9629058837890625;-6.937779426574707;-0.11229324340820312;-0.060604095458984375;-0.04624366760253906;-0.11867713928222656;-0.08732032775878906,-0.3087615966796875;-0.2143402099609375;-0.13675689697265625;-4.013221740722656;-7.203056335449219;-0.05211639404296875;-0.0666656494140625;-0.02978515625;-0.034183502197265625;-0.09545135498046875
She is not unkind means that she is kind.,kind-unkind,y,mp,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-10.824581146240234;-12.121853828430176;-2.182995319366455;-1.38018798828125;-1.6171131134033203;-4.963787078857422;-1.818807601928711,0.0;-1.9161643981933594;-2.7355270385742188;-12.717144012451172;-14.383979797363281;-4.598175048828125;-8.718807220458984;-1.44451904296875;-3.4007644653320312;-5.692661285400391,-0.3502206802368164;-0.04129600524902344;-0.9573764801025391;-0.4299793243408203;-9.781688690185547;-0.22206687927246094;-0.016676902770996094;-0.018209457397460938;-1.1465063095092773;-0.08690643310546875,-0.21144866943359375;-0.5680465698242188;-0.7196540832519531;-0.031818389892578125;-8.93265151977539;-0.088592529296875;-0.0290069580078125;-0.02950286865234375;-2.6639251708984375;-0.11846160888671875
He is kind means that he is kind.,kind-mean,n,pp,n,mf,0.0;-3.1556758880615234;-7.3739824295043945;-13.95821475982666;-3.7265758514404297;-0.8971357345581055;-1.6693525314331055;-3.245011806488037;-2.2972707748413086,0.0;-5.7892608642578125;-8.937545776367188;-10.25295639038086;-5.378547668457031;-3.8619651794433594;-5.898590087890625;-10.77215576171875;-5.854564666748047,-0.8105258941650391;-2.837925910949707;-1.4042091369628906;-7.374186038970947;-0.3978595733642578;-0.13720035552978516;-0.039386749267578125;-1.3566217422485352;-0.12664794921875,-0.4927215576171875;-1.3964424133300781;-3.739410400390625;-9.507431030273438;-0.11115264892578125;-0.2611083984375;-0.0794525146484375;-2.9615135192871094;-0.16072845458984375
He is mean means that he is mean.,kind-mean,n,mm,n,mf,0.0;-3.1556758880615234;-10.646448135375977;-11.705775260925293;-2.0158586502075195;-0.6896476745605469;-1.1931581497192383;-2.796915054321289;-1.5562858581542969,0.0;-3.181537628173828;-12.650588989257812;-7.002546310424805;-2.6416244506835938;-3.6343612670898438;-3.782245635986328;-10.935409545898438;-4.8535614013671875,-0.879063606262207;-1.1507654190063477;-0.9074687957763672;-6.694255828857422;-0.6961669921875;-0.17999935150146484;-0.019300460815429688;-1.5910224914550781;-0.07755851745605469,-0.6093292236328125;-0.8749504089355469;-3.333118438720703;-9.111473083496094;-0.12884521484375;-0.44515228271484375;-0.09961700439453125;-3.302825927734375;-0.1146087646484375
He is kind means that he is mean.,kind-mean,n,pm,n,mf,0.0;-3.1556758880615234;-7.3739824295043945;-13.95821475982666;-3.7265758514404297;-0.8971357345581055;-1.6693525314331055;-7.947386741638184;-1.837721824645996,0.0;-7.581996917724609;-5.861970901489258;-9.296575546264648;-4.872652053833008;-5.136567115783691;-7.105930328369141;-6.483954429626465;-5.379070281982422,-0.5897216796875;-2.481901168823242;-4.020042419433594;-11.32615852355957;-1.1205205917358398;-0.11217784881591797;-0.022469520568847656;-7.19999885559082;-0.05602073669433594,-0.405975341796875;-0.9583358764648438;-6.378986358642578;-10.4532470703125;-1.0270156860351562;-0.06262969970703125;-0.07940673828125;-8.05276870727539;-0.09551239013671875
He is mean means that he is kind.,kind-mean,n,mp,n,mf,0.0;-3.1556758880615234;-10.646448135375977;-11.705775260925293;-2.0158586502075195;-0.6896476745605469;-1.1931581497192383;-5.794344902038574;-1.8040666580200195,0.0;-7.17889404296875;-5.360553741455078;-5.632472991943359;-7.203266143798828;-7.092012405395508;-5.230857849121094;-3.4022140502929688;-5.025657653808594,-1.1603975296020508;-1.4418230056762695;-7.088840961456299;-11.290847778320312;-0.19336318969726562;-0.022684097290039062;-0.018136978149414062;-5.844055652618408;-0.04509544372558594,-0.5596847534179688;-0.26328277587890625;-6.901691436767578;-8.773490905761719;-0.0357513427734375;-0.041412353515625;-0.04077911376953125;-8.1343994140625;-0.09112548828125
He is not kind means that he is kind.,kind-mean,n,pp,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-9.71943473815918;-12.341341018676758;-2.0345873832702637;-0.7457542419433594;-1.0165605545043945;-4.3371686935424805;-2.2263126373291016,0.0;-5.894077301025391;-3.0863418579101562;-9.484918594360352;-8.811826705932617;-5.1678009033203125;-7.033506393432617;-4.654445648193359;-8.039249420166016;-3.8840770721435547,-1.9937400817871094;-0.1429767608642578;-2.581165313720703;-1.9067344665527344;-9.180423736572266;-0.33682823181152344;-0.22589683532714844;-0.0801992416381836;-2.982563018798828;-0.13791275024414062,-1.0455741882324219;-0.3331298828125;-1.3076400756835938;-4.531063079833984;-8.85403060913086;-0.06378936767578125;-0.1468353271484375;-0.04187774658203125;-5.784969329833984;-0.1617431640625
He is not mean means that he is mean.,kind-mean,n,mm,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-9.89676570892334;-11.910421371459961;-2.045663833618164;-1.0048627853393555;-0.9978933334350586;-3.7052087783813477;-1.5535554885864258,0.0;-4.281776428222656;-4.0325927734375;-10.704814910888672;-8.623077392578125;-4.209590911865234;-6.721767425537109;-4.283790588378906;-13.095909118652344;-6.80606746673584,-0.8486404418945312;-0.1161031723022461;-2.461855888366699;-1.9087018966674805;-8.511800765991211;-0.47734928131103516;-0.08667182922363281;-0.025873184204101562;-3.834442138671875;-0.09188079833984375,-0.6610794067382812;-0.20273590087890625;-0.94970703125;-4.470008850097656;-9.10593032836914;-1.96893310546875;-0.07083892822265625;-0.05507659912109375;-2.3844871520996094;-0.1102294921875
He is not kind means that he is mean.,kind-mean,n,pm,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-9.71943473815918;-12.341341018676758;-2.0345873832702637;-0.7457542419433594;-1.0165605545043945;-4.573639869689941;-1.2951164245605469,0.0;-2.628814697265625;-4.026275634765625;-2.8596744537353516;-9.36201286315918;-5.893218994140625;-6.776496887207031;-4.631259918212891;-8.937393188476562;-5.930376052856445,-0.42707157135009766;-0.032835960388183594;-1.5799646377563477;-2.949437141418457;-7.6620869636535645;-0.5585403442382812;-0.05053520202636719;-0.059337615966796875;-4.394145965576172;-0.04320335388183594,-1.8546066284179688;-0.20291900634765625;-0.7294158935546875;-6.188934326171875;-8.816387176513672;-1.1087188720703125;-0.02236175537109375;-0.03690338134765625;-2.8384361267089844;-0.0974884033203125
He is not mean means that he is kind.,kind-mean,n,mp,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-9.89676570892334;-11.910421371459961;-2.045663833618164;-1.0048627853393555;-0.9978933334350586;-5.232872009277344;-1.6917877197265625,0.0;-4.7347564697265625;-5.597465515136719;-9.07183837890625;-7.66070556640625;-5.204559326171875;-6.607158660888672;-4.438785552978516;-5.43896484375;-6.719394683837891,-0.5038356781005859;-0.8590974807739258;-1.115997314453125;-6.571139812469482;-9.394120216369629;-0.32325267791748047;-0.00955963134765625;-0.013914108276367188;-2.0595569610595703;-0.062007904052734375,-0.3669776916503906;-3.6727828979492188;-0.2188568115234375;-4.410072326660156;-8.08642578125;-1.216949462890625;-0.02423095703125;-0.05410003662109375;-5.3970794677734375;-0.103363037109375
She is kind means that she is kind.,kind-mean,n,pp,n,fm,0.0;-3.225691318511963;-7.077083110809326;-13.463712692260742;-3.239285469055176;-0.9400110244750977;-1.7627143859863281;-3.095017910003662;-2.3312511444091797,0.0;-5.858325958251953;-10.354862213134766;-9.17319107055664;-5.201587677001953;-3.2872085571289062;-4.526081085205078;-10.06338119506836;-4.963569641113281,-0.7182493209838867;-2.52508544921875;-1.8334474563598633;-7.4521918296813965;-0.4150962829589844;-0.16602039337158203;-0.041769981384277344;-1.819845199584961;-0.11854171752929688,-0.22552490234375;-1.1217536926269531;-3.6192970275878906;-9.510631561279297;-0.12123870849609375;-0.1915130615234375;-0.076690673828125;-2.9957504272460938;-0.1504669189453125
